"","X685.2_CTRL","X697.3_CTRL","X697.1_CTRL","X468.4_CTRL","X468.4_LPS","X685.2_LPS","X697.3_LPS","X697.1_LPS","X685.1_CTRL","X697.5_CTRL","X697.2_CTRL","X468.6_CTRL","X697.5_LPS","X697.2_LPS","X685.1_LPS","X468.6_LPS","Gene_name"
"0610005C13RIK",7.71909803640257,6.66072894929455,9.95429390447709,4.71109951855038,10.3298004090788,6.64972296040518,8.16051524701758,8.82910906546843,5.77616902001142,3.85051529548339,6.01553974800609,8.82294953536293,1.47059950367334,6.52089664031479,6.54263890414107,5.6906847939036,"0610005C13RIK"
"0610007P14RIK",805.359228464668,640.540100623826,763.41777098182,618.200947934222,506.16022004486,758.068417486191,545.122418500774,735.13950218795,571.315626706584,427.407197798657,492.414896515355,520.554022586413,450.983847793158,417.337384980147,551.217327673885,521.917091098016,"0610007P14RIK"
"0610009B22RIK",334.494248244111,308.613774650647,310.880255785977,376.364505981969,340.883413499599,295.08145636798,264.40069400337,295.078118766971,366.524179633452,371.574726014147,371.674420144662,370.563880485243,352.453681047044,273.877658893221,288.530375672621,360.9520069276,"0610009B22RIK"
"0610009L18RIK",28.3033594668094,25.5327943056291,29.0971667977023,27.21968610718,25.8245010226969,28.261322581722,32.6420609880703,23.2344975407064,19.9540384327667,32.7293800116088,25.3512032237399,44.1147476768146,26.4707910661201,28.2572187746974,13.0852778082821,14.6331894700378,"0610009L18RIK"
"0610009O20RIK",645.831202379015,713.808119066066,671.531981094339,622.912047452772,511.325120249399,616.761804577581,631.623880119161,589.691547583128,552.41180082291,644.961311993468,634.20976200407,449.970426303509,499.513631414378,404.295591699517,466.163021920051,542.240965361957,"0610009O20RIK"
"0610010F05RIK",518.466084778372,532.303255197789,653.154823116843,622.912047452772,645.612525567423,533.640267572516,504.319842265686,646.383721582452,825.992169861632,592.979355504442,716.708592833868,449.970426303509,617.651791542803,784.681229051213,836.149251949228,656.867616210587,"0610010F05RIK"
"0610010K14RIK",376.949287444325,441.828353636539,340.743137499408,342.863353850055,340.883413499599,379.034208743095,377.015804412212,297.866258471856,354.971841593429,336.920088354797,386.283588104105,379.386830020606,384.3166702933,330.392096442616,327.45907715226,417.858854866636,"0610010K14RIK"
"0610011F06RIK",250.870686183083,256.993125293615,242.731628286095,261.204295528515,237.585409408812,240.221241944637,329.68481597951,189.12880998135,371.775242378917,238.73194831997,296.480173294586,379.386830020606,298.531699245688,273.877658893221,334.983111892023,330.872673016966,"0610011F06RIK"
"0610012G03RIK",429.696457359743,466.806087196393,424.971778229599,566.378853230167,511.325120249399,434.725638536489,550.018727648985,346.658703307339,494.650110622796,554.474202549608,676.748221650685,573.49171979859,492.160633896012,408.642856126394,405.970744001953,499.967306892959,"0610012G03RIK"
"0610030E20RIK",528.758215493576,516.761554316102,506.903274212603,526.59623507352,495.830419635781,526.990544612111,411.289968449686,546.475382157415,745.650909856019,616.082447277343,737.333300541317,529.376972121776,541.18061735179,678.173250592738,706.932133592442,573.946209213706,"0610030E20RIK"
"0610031J06RIK",3777.21197247966,3574.59120278808,3634.8487049656,4610.07260665257,4028.62215954072,4643.16905710292,3815.85692950542,3456.36385415548,4495.43481639252,6056.86055979538,5535.15593098674,5108.48778097513,6574.06998125439,4964.575975493,4402.54171859652,5163.88997298224,"0610031J06RIK"
"0610037L13RIK",468.291947541756,506.77046089216,477.8061074149,438.132255225185,470.005918613084,497.066791290287,528.801388006739,420.544405486786,357.072266691615,412.005136616723,380.268048356099,467.616325374235,512.749026947438,447.768235968282,433.449827399346,521.917091098016,"0610037L13RIK"
"0610038B21RIK",9.00561437580299,9.99109342394182,3.06285966291603,6.28146602473384,10.3298004090788,8.31215370050648,6.52841219761406,4.64689950814128,3.67574392182545,5.77577294322509,5.15617692686236,17.6458990707259,5.88239801469336,8.69452885375306,5.88837501372696,3.25181988223063,"0610038B21RIK"
"0610039K10RIK",16.7247124122056,3.33036447464728,3.82857457864504,3.66418851442807,15.4947006136182,4.15607685025324,3.26420609880703,8.3644191146543,8.92680666729037,3.85051529548339,6.01553974800609,8.82294953536293,6.86279768380893,6.52089664031479,4.9069791781058,6.50363976446126,"0610039K10RIK"
"0610040B10RIK",16.7247124122056,24.42267281408,19.9085878089542,23.0320420906907,20.6596008181575,15.7930920309623,16.3210304940352,18.122908081751,22.0544635309527,19.252576477417,15.4685307805871,26.4688486060888,18.6275937131957,19.5626899209444,20.2821806028373,30.892288881191,"0610040B10RIK"
"0610040F04RIK",3.85954901820128,2.77530372887273,5.36000441010305,2.61727751030576,5.16490020453938,2.49364611015194,1.63210304940352,1.39406985244238,3.15063764727895,1.9252576477417,1.71872564228745,8.82294953536293,6.86279768380893,6.52089664031479,3.59845139727759,5.6906847939036,"0610040F04RIK"
"0610040J01RIK",7.71909803640257,4.44048596619637,1.53142983145801,6.80492152679499,5.16490020453938,4.98729222030389,1.63210304940352,4.64689950814128,14.1778694127553,30.8041223638671,37.811964130324,17.6458990707259,9.31379685659783,10.8681610671913,1.96279167124232,4.87772982334594,"0610040J01RIK"
"0610043K17RIK",6.43258169700214,2.77530372887273,4.59428949437404,4.18764401648922,10.3298004090788,2.49364611015194,3.26420609880703,7.43503921302605,7.35148784365089,3.85051529548339,5.15617692686236,8.82294953536293,7.3529975183667,6.52089664031479,9.48682641100454,4.06477485278829,"0610043K17RIK"
"1-MAR",16.7247124122056,23.3125513225309,22.2057325561412,113.066388445209,25.8245010226969,12.4682305507597,29.3778548892633,20.4463578358216,83.4918976528923,180.974218887719,311.089341254029,52.9376972121776,53.9219818013558,130.417932806296,28.7876111782207,11.3813695878072,"1-MAR"
"1-SEP",37.3089738426124,21.6473690852073,24.5028773033282,19.3678535762627,15.4947006136182,28.261322581722,29.3778548892633,24.1638774423347,47.7846709837308,19.252576477417,21.0543891180213,44.1147476768146,21.0785928859846,26.0835865612592,32.0589306302912,32.5181988223063,"1-SEP"
"10-SEP",478.584078256959,567.82714292736,601.086208847271,474.774140369466,490.665519431241,510.366237211098,502.687739216283,746.29206100749,253.626330605956,246.432978910937,277.144509818852,194.104889777984,234.315520918619,289.093084387289,256.798576987537,269.901050225142,"10-SEP"
