"","gene","baseMean_I","log2FoldChange_I","lfcSE_I","stat_I","pvalue_I","padj_I","abs_LFC_I","baseMean_II","log2FoldChange_II","lfcSE_II","stat_II","pvalue_II","padj_II","abs_LFC_II","baseMean_III","log2FoldChange_III","lfcSE_III","stat_III","pvalue_III","padj_III"
"1","2610008E11Rik",997.359815787274,-0.530169980284547,0.180629355136022,-2.93512635244312,0.00333411891646613,0.0497019333927027,0.530169980284547,997.359815787274,-0.612008479388601,0.183670162596125,-3.3321061556109,0.000861913718921525,0.00866487138654578,0.612008479388601,997.359815787274,-0.763700898889759,0.18213784803971,-4.19298299123012,2.75310092781377e-05,0.000389297704894125
"2","4930523C07Rik",182.141899834061,1.08121616690734,0.237764982204799,4.54741550619104,5.43087123130429e-06,0.00022975270904081,1.08121616690734,182.141899834061,1.33374438989844,0.257204505440874,5.18554053947179,2.15389226456432e-07,6.52944985414932e-06,1.33374438989844,182.141899834061,-1.12345277908916,0.257165501372829,-4.36859832711552,1.25046514859942e-05,0.000204407395153284
"3","5430435G22Rik",1009.38646208532,-1.57805266370342,0.448984354369053,-3.51471637785913,0.000440223875524636,0.0100728194044634,1.57805266370342,1009.38646208532,-3.09284818751701,0.446050508231007,-6.93385195273724,4.09533245998896e-12,2.73849878252113e-10,3.09284818751701,1009.38646208532,1.90547766700309,0.444962163119069,4.28233639832697,1.84941101668767e-05,0.000280581571007132
"4","6430548M08Rik",416.779669454126,-0.809775608717323,0.21898558716913,-3.69784888213628,0.000217434262406342,0.00567104127762467,0.809775608717323,416.779669454126,-1.1372492783697,0.216866640561883,-5.24400283705775,1.57129781524489e-07,4.88855560288189e-06,1.1372492783697,416.779669454126,0.560179677780875,0.215292650769877,2.60194519310203,0.00926966648631179,0.0398384549233954
"5","AA467197",522.906152911966,2.77174588047796,0.62118534872608,4.46202713274263,8.11879429052726e-06,0.000330744215026003,2.77174588047796,522.906152911966,3.35802396588325,0.619726392235976,5.41855891237338,6.00813420887284e-08,2.01333803489167e-06,3.35802396588325,522.906152911966,1.64727786110415,0.626177425496893,2.63068867389618,0.0085212055878977,0.0375153159449599
"6","Abcd2",109.736912597042,-1.71596681947799,0.486225824702655,-3.52915606760987,0.000416887197958455,0.00965360294941692,1.71596681947799,109.736912597042,-3.16102520957922,0.474516130885286,-6.66157587452679,2.70906875799891e-11,1.58239597255762e-09,3.16102520957922,109.736912597042,1.40106446309571,0.462819326645511,3.02723845447542,0.00246799185951041,0.0145153074820912
"7","Acadm",981.377806807563,-0.580453745698025,0.149049012538526,-3.8943816923845,9.8449526271948e-05,0.00287670636634104,0.580453745698025,981.377806807563,-0.524920830531729,0.150934836637664,-3.47779771870598,0.00050555128077142,0.00560888650693698,0.524920830531729,981.377806807563,-0.398963139540382,0.149681482882352,-2.66541413044367,0.00768935662756043,0.0346451466289473
"8","Adi1",690.374436384716,-0.616853715398986,0.174467882801111,-3.53562905387109,0.000406805487669048,0.00946283641180615,0.616853715398986,690.374436384716,-0.911114949044205,0.173260952671811,-5.2586283002266,1.45133910382296e-07,4.54404433819825e-06,0.911114949044205,690.374436384716,0.532161995769471,0.172385425654438,3.08704749110424,0.00202155296827924,0.0124961777735252
"9","Adipor2",2256.12791793392,-0.281859169419889,0.0844874336376035,-3.33610759949087,0.000849602738197857,0.0171918783647481,0.281859169419889,2256.12791793392,-0.369508940477947,0.084660767949979,-4.36458290451922,1.27365540118576e-05,0.00024818836362761,0.369508940477947,2256.12791793392,0.214151093098345,0.0843413288583023,2.53910029634616,0.011113795739994,0.0455964459796271
"10","Adra1d",53.1773853518134,-1.00442318700925,0.303312019390034,-3.3115179181793,0.000927912973593087,0.0183191434363589,1.00442318700925,53.1773853518134,-1.05773482818657,0.382743069828971,-2.76356363201877,0.00571739432759521,0.0384402426629673,1.05773482818657,53.1773853518134,-2.50381746174834,0.334662819456749,-7.48161228609961,7.34162719020009e-14,1.54763433176573e-11
"11","Akap17b",180.622323991883,-0.54261937004107,0.142224940421054,-3.81521952784552,0.000136061918873798,0.00385859574353152,0.54261937004107,180.622323991883,-0.492875771079195,0.14956407955928,-3.29541540008503,0.000982762891968297,0.00963081566147712,0.492875771079195,180.622323991883,-0.567698861481706,0.143337193121682,-3.96058307769271,7.47669748287023e-05,0.000892579510976632
"12","Appl2",1075.07469364584,-0.460311704220437,0.129444696212846,-3.55604916761939,0.000376473651223221,0.00887797512279692,0.460311704220437,1075.07469364584,-0.526003795365633,0.128303482953182,-4.09968446108024,4.1371381331652e-05,0.000686950868897925,0.526003795365633,1075.07469364584,0.528773517389406,0.128027273586084,4.13016307055751,3.62506010885343e-05,0.00048600073643465
"13","Arhgap12",1213.60935426659,-0.340567999453525,0.0964762938846747,-3.53006926095888,0.000415450892881771,0.00963483177633493,0.340567999453525,1213.60935426659,-0.430158957919512,0.0958441357909465,-4.48810930757169,7.18580589440403e-06,0.000152689256434947,0.430158957919512,1213.60935426659,0.395684241758053,0.0955039833180325,4.1431176796093,3.42616022307848e-05,0.000465045493126461
"14","Arhgap19",668.206240576182,-1.56936550445579,0.477100646421442,-3.28938037755142,0.00100408227196657,0.0195225541742591,1.56936550445579,668.206240576182,-3.41313526511778,0.474176523609058,-7.19802667398985,6.10901958002659e-13,4.5826949925702e-11,3.41313526511778,668.206240576182,1.78604963715572,0.471961473521406,3.78431235886612,0.000154134144505359,0.00160558070814067
"15","Arhgap20",34.2164846892933,-1.2730049868244,0.357736916282761,-3.55849488515801,0.000372986053220989,0.00883632651315387,1.2730049868244,34.2164846892933,-1.43256268484384,0.412343308203016,-3.47419894137951,0.00051238098841455,0.00566763940628011,1.43256268484384,34.2164846892933,-1.55946965336323,0.366462339193081,-4.25547044424006,2.08609921360816e-05,0.000310319363985295
"16","Atl1",158.835431449007,-0.637516248429566,0.124916782395933,-5.10352761415924,3.33379839866425e-07,1.76416362683955e-05,0.637516248429566,158.835431449007,-0.476235839303421,0.129381845406501,-3.68085520659525,0.000232452985995582,0.00295812494279305,0.476235839303421,158.835431449007,-0.459144675763552,0.123027933418334,-3.73203599382846,0.000189938352835639,0.0018924143972511
"17","Atxn1",1108.13662951112,0.519624465038847,0.127923402519221,4.06199690444264,4.86547224806887e-05,0.00156743529598352,0.519624465038847,1108.13662951112,0.466288718864654,0.128332776979463,3.633434340311,0.000279673640971711,0.00345569988819394,0.466288718864654,1108.13662951112,0.458040758541108,0.129075537615943,3.54862561102774,0.000387247248125819,0.00335719056397389
"18","AU022793",39.9752178918977,-2.63632317803839,0.713241753151697,-3.69625469399249,0.000218803472379929,0.00569147748509887,2.63632317803839,39.9752178918977,-2.60793297942385,0.629540099978286,-4.14260025614541,3.43390176140561e-05,0.000585307961130936,2.60793297942385,39.9752178918977,1.73914460105519,0.618713864916082,2.81090290629106,0.0049402691645486,0.0245629667121833
"19","B4galt5",4062.19277268094,0.944043515425172,0.179022213065638,5.27333172380705,1.33969092226662e-07,7.58452224705283e-06,0.944043515425172,4062.19277268094,1.39449744564163,0.178267020609048,7.82252062595394,5.17759676282197e-15,4.75245496652069e-13,1.39449744564163,4062.19277268094,1.45937393436724,0.179018274648057,8.15209473578224,3.57673920363194e-16,1.19381122461224e-13
"20","Bbs9",276.095722673163,-0.519413102807265,0.152180679762343,-3.41313433228463,0.000642202781286068,0.0137733713496158,0.519413102807265,276.095722673163,-0.398821704199731,0.147889154205143,-2.69676100551979,0.0070017502329952,0.0452039602198353,0.398821704199731,276.095722673163,0.457091475084997,0.147448959915608,3.09999796096637,0.00193521974878667,0.0121109982794184
"21","Bcl10",1307.57942939705,0.700850730960285,0.110728071787736,6.32947652428918,2.45994314590809e-10,2.16460940021936e-08,0.700850730960285,1307.57942939705,1.05834816906679,0.111331931544611,9.50624097133089,1.97676802781494e-21,3.65158473938115e-19,1.05834816906679,1307.57942939705,0.349935761934645,0.112568051306187,3.10865967629494,0.00187938061219584,0.0118030406852174
"22","Bcl2a1b",1159.48769319662,2.43340929128236,0.757594537538823,3.21202063994246,0.00131804905570102,0.0241914629424791,2.43340929128236,1159.48769319662,2.74257815727657,0.756089395341225,3.62731996265976,0.000286378327459646,0.00352381259217207,2.74257815727657,1159.48769319662,2.18820093575817,0.758392966965098,2.88531280098076,0.00391024932893752,0.0207231572937175
"23","Bcl2a1d",152.394642596954,4.32030688084383,0.774165044257671,5.58060185342839,2.39687742741281e-08,1.59781452401428e-06,4.32030688084383,152.394642596954,4.74205300110913,0.728668119222089,6.50783652531916,7.62408181015394e-11,4.12705791173828e-09,4.74205300110913,152.394642596954,2.47987209086054,0.801630561528708,3.09353486490264,0.00197787311676349,0.0123106080822331
"24","Bcl3",542.191909864064,3.34490467837832,0.167651065754748,19.9515861311105,1.45208005522722e-88,1.1180290385222e-84,3.34490467837832,542.191909864064,3.60346386882993,0.167267967469061,21.5430600571891,6.15065130516502e-103,4.54471624938644e-99,3.60346386882993,542.191909864064,0.800672576989262,0.183582990908045,4.36136579445049,1.29253067431094e-05,0.000209803788582934
"25","Bin2",146.848088545441,-2.85887915616961,0.798285218472679,-3.58127532617899,0.000341921098340426,0.0082786839517991,2.85887915616961,146.848088545441,-3.22017995607115,0.754928586211951,-4.26554248293767,1.99417062303119e-05,0.000364725909246967,3.22017995607115,146.848088545441,2.42043494814029,0.751431855603533,3.22109706966875,0.00127700887976734,0.00878066921148179
"26","Bst2",1897.22984502397,1.30032832091581,0.405981692159804,3.20292354563607,0.00136040091804135,0.0247037897841024,1.30032832091581,1897.22984502397,1.39342579259976,0.405731673795409,3.43435300371052,0.000593970129016811,0.00635603951238989,1.39342579259976,1897.22984502397,1.25843048968999,0.406377511899495,3.09670307248996,0.00195685777360442,0.0121987620198119
