"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0044409","GO:0044409","entry into host",22,0.694838269833794,1.71537309931193,0.00238392553070723,0.0309719604949483,0.0266096277132837,1058,"tags=82%, list=27%, signal=60%","Ptx3/Trim30a/Trim30d/Cd74/Ch25h/Trim21/Trim30b/Trim34a/Ciita/Trim25/Trim12a/Ifitm1/Trim56/Trim14/Trim12c/Trim5/Trim26/Ifitm3"
"GO:0046718","GO:0046718","viral entry into host cell",22,0.694838269833794,1.71537309931193,0.00238392553070723,0.0309719604949483,0.0266096277132837,1058,"tags=82%, list=27%, signal=60%","Ptx3/Trim30a/Trim30d/Cd74/Ch25h/Trim21/Trim30b/Trim34a/Ciita/Trim25/Trim12a/Ifitm1/Trim56/Trim14/Trim12c/Trim5/Trim26/Ifitm3"
"GO:0051246","GO:0051246","regulation of protein metabolic process",607,0.410874490384359,1.22419986145167,0.0023997600239976,0.0311154513291186,0.0267329081778239,786,"tags=24%, list=20%, signal=22%","Il12b/Il1b/Nos2/Gbp4/Tnf/Ccl5/Csf2/Csf3/Serpina3f/Nlrp3/C3/Il23a/Isg15/Tnfaip3/Tnfsf15/Parp14/Icam1/Bcl2a1d/Igtp/Cx3cl1/Irf1/Nfkbia/Serpina3i/Adora2a/Ptx3/Ripk2/Socs3/Il15/Zc3h12a/Tnfsf10/Serpina3g/Lif/Nod2/Bcl3/Trim30a/Bdkrb1/Dtx3l/Camp/Cd74/Parp9/Bmp3/Fas/Trim21/Adtrp/Ifi204/Slpi/Psmb9/Irgm1/Sdc4/Pim1/Psmb8/Samd9l/Socs1/Chil1/Arid5a/Tslp/Mmp9/Birc3/Tlr1/Hap1/Csf1/Stat2/Malt1/Nmi/Parp10/Lax1/Tnip1/Gadd45b/Il1rn/Stat1/Gsap/Tnfrsf1b/Pik3r5/Jak2/Ptgs2/Daxx/Edn1/Peli1/Bid/Pdgfb/Itga2/Gfra2/Il1r2/Bmp2/Enpp2/Ier3/Oprd1/Atp2b4/Pik3r6/Dcp2/Gata3/Agrn/Mfhas1/Arrdc4/Nod1/Il34/Zfp36/Ptprj/Ereg/Ctsc/Lck/Rnf19b/Psme2/Plk2/Acsl1/Cflar/Slco3a1/Cd86/Vegfc/Slc11a2/Piwil4/Prr5l/Camkk2/Casp1/Rhbdf2/Ccdc88c/Rtn1/Aim2/Htr2a/Hrc/Syk/Adar/Myc/Tnfsf11/Tnfrsf14/Fgf1/Taf7/Eif2ak2/Sqstm1/Birc2/Tnfrsf4/Zfp36l1/Pawr/Cpeb4/Gdnf/Tank/Ptprc/Mllt6/Il18/Traf3/Ralb/Serpina3n/Egr1"
"GO:0045582","GO:0045582","positive regulation of T cell differentiation",43,0.604043002263279,1.62567601625266,0.00241571263522739,0.0312598989610302,0.0268570106772397,970,"tags=58%, list=25%, signal=44%","Nlrp3/Il23a/Tnfsf4/Irf1/Ripk2/Cd83/Nfkbiz/Cd74/Il4i1/Socs1/Malt1/Nfkbid/Il2rg/Pik3r6/Gata3/Lck/Syk/Pnp/Ptprc/Il18/Stat5a/Il1rl2/Rasgrp1/Wnt10b/Itpkb"
"GO:0039528","GO:0039528","cytoplasmic pattern recognition receptor signaling pathway in response to virus",12,0.773278922774018,1.70899476348923,0.0025025025025025,0.0323186009070701,0.0277665967736073,218,"tags=42%, list=6%, signal=39%","Oasl1/Ddx60/Ifih1/Dhx58/Oas3"
"GO:0035455","GO:0035455","response to interferon-alpha",20,0.706805313088271,1.71727637962258,0.00253106304647952,0.0326225903768472,0.0280277699925531,710,"tags=60%, list=18%, signal=49%","Ifit1/Tgtp1/Ifit2/Ifit3/Oas1g/Oas1a/Ifi204/Plscr1/Adar/Myc/Ifitm1/Eif2ak2"
"GO:0060332","GO:0060332","positive regulation of response to interferon-gamma",5,0.897045667458939,1.63233966665782,0.00254757979919077,0.0327056884892159,0.0280991639178478,323,"tags=80%, list=8%, signal=73%","Igtp/Parp9/Irgm1/Nlrc5"
"GO:0060335","GO:0060335","positive regulation of interferon-gamma-mediated signaling pathway",5,0.897045667458939,1.63233966665782,0.00254757979919077,0.0327056884892159,0.0280991639178478,323,"tags=80%, list=8%, signal=73%","Igtp/Parp9/Irgm1/Nlrc5"
"GO:1903321","GO:1903321","negative regulation of protein modification by small protein conjugation or removal",25,0.672455975425585,1.69184670257022,0.0025618177767877,0.0328236060710314,0.0282004730666011,319,"tags=24%, list=8%, signal=22%","Gbp4/Isg15/Tnfaip3/Dtx3l/Trim21/Parp10"
"GO:0007186","GO:0007186","G protein-coupled receptor signaling pathway",155,0.486003116307021,1.41249146929492,0.00260078023407022,0.033191882908684,0.0285168789184993,470,"tags=26%, list=12%, signal=24%","Cxcl10/Nos2/Ccl22/Cxcl9/Ccl5/C3/Fpr2/Ccrl2/Ccl20/Ccl3/Ccl4/Gpr84/Ccl2/Cx3cl1/Hcar2/Adora2a/Rgs16/Bdkrb1/Ccl7/Ccl8/Ccl9/Fpr1/Lpar3/Ccl17/Ptgir/Ccr3/Nr3c2/Gpr132/Rgs8/Gpr68/Cish/Pik3r5/Jak2/Rgs1/Edn1/Oprd1/Atp2b4/Pik3r6/Gpr31b/Plek"
"GO:0042325","GO:0042325","regulation of phosphorylation",346,0.436603553234592,1.29077519948057,0.0025997400259974,0.033191882908684,0.0285168789184993,719,"tags=25%, list=18%, signal=22%","Il12b/Il1b/Gbp4/Tnf/Ccl5/Csf2/Csf3/C3/Il23a/Tnfaip3/Tnfsf15/Parp14/Icam1/Igtp/Cx3cl1/Irf1/Adora2a/Ripk2/Socs3/Il15/Zc3h12a/Lif/Slc2a6/Nod2/Bdkrb1/Camp/Cd74/Parp9/Bmp3/Fas/Adtrp/Irgm1/Sdc4/Pim1/Trex1/Socs1/Chil1/Tslp/Mmp9/Birc3/Tlr1/Csf1/Stat2/Slamf8/Malt1/Lax1/Nlrc5/Gadd45b/Il1rn/Pik3r5/Jak2/Ptgs2/Daxx/Edn1/Pdgfb/Gfra2/Bmp2/Enpp2/Insrr/Ier3/Oprd1/Atp2b4/Pik3r6/Agrn/Il34/Ptprj/Ereg/Lck/Acsl1/Slco3a1/Cd86/Vegfc/Prr5l/Camkk2/Ccdc88c/Htr2a/Hrc/Syk/Adar/Myc/Tnfsf11/Tnfrsf14/Fgf1/Taf7/Sqstm1/Tnfrsf4"
"GO:0015732","GO:0015732","prostaglandin transport",12,0.771375405163926,1.70478787056605,0.00262762762762763,0.0334687628805276,0.0287547609529034,673,"tags=67%, list=17%, signal=55%","Il1b/Nos2/Il1a/Ptges/Ptgs2/Edn1/Slco3a1/Tnfsf11"
"GO:0002534","GO:0002534","cytokine production involved in inflammatory response",27,0.664433217962196,1.69157048262778,0.0026492990396291,0.0336787603941891,0.0289351807768328,147,"tags=19%, list=4%, signal=18%","Nos2/Gbp5/Tnf/Zc3h12a/Nod2"
"GO:0034331","GO:0034331","cell junction maintenance",8,-0.754692723065055,-2.0385900256159,0.00265453166477057,0.0336793704967766,0.0289357049478075,963,"tags=100%, list=25%, signal=75%","Kifc3/Dgkz/Shroom2/Plekha7/Rab3a/Camsap3/Mtss1"
"GO:1904892","GO:1904892","regulation of receptor signaling pathway via STAT",33,0.639039023149041,1.67174400885854,0.00268932874354561,0.0340543460391273,0.0292578660065227,608,"tags=42%, list=16%, signal=36%","Il12b/Cxcl5/Il23a/Parp14/Irf1/Socs3/Lif/Bcl3/Socs1/Tslp/Jak2/Prl7c1/Il23r/Tyk2"
"GO:0032623","GO:0032623","interleukin-2 production",31,0.651624454504773,1.69012426081714,0.00270973336223716,0.0342459687180789,0.0294224990509552,1012,"tags=65%, list=26%, signal=48%","Il1b/Il1a/Tnfaip3/Tnfsf4/Ripk2/Cd83/Nod2/Malt1/Gata3/Zfp36/Pde4b/Pnp/Pawr/Ptprc/Nav3/Stat5a/Traf2/Il20rb/Cd34/Pnp2"
"GO:0098581","GO:0098581","detection of external biotic stimulus",10,0.797862934535752,1.69860626827041,0.00272126474018401,0.0342584026206111,0.0294331816655561,506,"tags=70%, list=13%, signal=61%","Pglyrp3/Tlr2/Nod2/Pglyrp2/Lbp/Tlr1/Nod1"
