Ensembl,Gene_name,P8_4_Lps3,P8_4_Lps5,P8_4_Lps4,P7_4_Lps1,P7_4_Lps2,P4_5_Lps2,P4_5_Lps3,P4_5_Lps1,P7_4_Ctrl1,P7_4_Ctrl2,P8_4_Ctrl3,P8_4_Ctrl4,P8_4_Ctrl5,P4_5_Ctrl1,P4_5_Ctrl3,P4_5_Ctrl2
ENSMUSG00000090100,Ttbk2,1952.498932,1932.84989,1598.484481,1092.82221,1439.764147,708.3437523,681.0004229,1671.21723,1158.474181,2601.763535,2431.232775,3417.01542,2184.921247,1586.213819,1585.872021,1055.696732
ENSMUSG00000041278,Ttc1,1520.004,1301.999,1180,792.0001,1017,637,930,1456.997,768.99973,1675.005,1750,2446.995,1551.997,1483.996,1704.998,1019
ENSMUSG00000040219,Ttc12,1091,959,876.0004,540,656.0002,293.9644,413.9995,751.423,568.9997,1289.996,1412.004,1940.996,1263.999,692.5736,945.0638,460.4157
ENSMUSG00000037300,Ttc13,3499.7259,3191.6503,2901.92437,1835.46505,2333.73779,1515.32677,1160.07912,3720.33879,1817.55281,4039.71396,4209.0014,5817.6796,3780.99127,3624.9004,1657.334061,2522.47206
ENSMUSG00000027677,Ttc14,2702.69187,2550.63385,2250.80229,1641.3939,2041.303315,1223.808683,852.985,2915.0409,1928.3544,4055.923473,3419.4376,4904.45984,3273.97304,3151.33837,2643.10269,2123.177
ENSMUSG00000039021,Ttc16,29.02748,24.03788,36.04344,18.00764,27.061168,17.00003,23,31.0455,20.04912,43.040743,42.0375,71.0859,43.02997,39.04962,16.00002,24.02577
ENSMUSG00000027194,Ttc17,2281.252849,2015.479468,1801.252642,1231.742443,1516.810245,804.1388166,939.0004,2125.149293,1224.608807,2540.06059,2607.49941,3655.22873,2293.3208,1934.132,1441.51139,1292.03867
ENSMUSG00000039543,Ttc18,8.000003,12,5,9,2.999997,7.999999,0,19.00005,6,13.00004,19,16,7.0000013,30.999974,59.99999,17.00004
ENSMUSG00000042298,Ttc19,920.8302,919.115,745.6886,487.0574,644.736,358.21903,325.7397,909.237,595.15779,1161.8423,1121.4449,1523.1226,1008.3729,1036.7948,721.6904,630.6444
ENSMUSG00000032514,Ttc21a,15,3.999999,3,2,6,3,2,15,4.000002,9,14,12,8,31,40,13
ENSMUSG00000034848,Ttc21b,1231.6713,1090.0652,1005.4272,702.4755,921.6753,379.82356,281.1877,905.6773,923.4566,1849.6374,1647.6743,2376.7357,1515.3473,888.5947,715.8996,611.8651
ENSMUSG00000034919,Ttc22,0,0,0,0,0,1,0,4,1,0,1,0,0,2,0,7
ENSMUSG00000030555,Ttc23,485.99972,433.01866,385.01073,315.00009,338.00833,318.99967,220.00005,842.02829,440.00031,849.59937,855.00352,1094.1895,732.2764,788.00018,747.3506,585.0002
