"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cxcl3",525.397243109414,8.88163599518337,0.787826562133357,11.2735929734747,1.7718866333287e-29,5.69237840594164e-27
"Ifit1",9558.16180746646,6.90614137619947,0.614457484036353,11.239412905891,2.61113042335452e-29,8.21006072262405e-27
"Mnda",582.416520420517,6.27343798817064,0.558766052004931,11.2273069662351,2.994672433615e-29,9.21984775499217e-27
"Parp14",11588.4438937755,5.81266767850216,0.519041844181707,11.1988421428066,4.13097195606388e-29,1.24586741972882e-26
"Oasl1",735.976333923239,6.39678548868819,0.572691683414792,11.1696846207824,5.73842643016698e-29,1.69604931570015e-26
"Igtp",1934.70025448439,5.96563590053604,0.534283074223299,11.1656838637616,6.0027454502362e-29,1.73938376987433e-26
"Gbp7",2009.83419834137,5.58601108101575,0.506159583687462,11.0360670054307,2.55994710231419e-28,7.27517274576906e-26
"Nfkb2",3820.98805340052,2.96532683274902,0.270814228559335,10.9496714722998,6.66890492590523e-28,1.8594920187741e-25
"Nlrp3",1983.49875913632,6.9340043158626,0.639176374458215,10.8483426374138,2.03074164459499e-27,5.55746296737495e-25
"Ifih1",3454.20878121988,5.19199071592444,0.48028427119282,10.8102451554988,3.07846259409189e-27,8.27154913008909e-25
"Tnf",35322.5545344082,9.25480597920383,0.860367418664236,10.7568066600806,5.50446460182913e-27,1.45258889081841e-24
"Birc3",1164.42614997651,2.94576249185843,0.276389769781305,10.6580011777906,1.59999112422076e-26,4.14818751469023e-24
"Sod2",2974.03052161221,2.78604930436273,0.261650444083934,10.6479823266381,1.7818522366498e-26,4.54003661262255e-24
"Rtp4",864.323188299171,5.72824257342036,0.538316058555563,10.641039743066,1.91975005876187e-26,4.80848582514966e-24
"Il1a",1551.52102856917,6.60023035250987,0.625604511228508,10.5501642556076,5.0708368384366e-26,1.24894711330693e-23
"Nfkb1",3984.78706344061,2.77123552345427,0.263373542406251,10.5220725595119,6.8353216035999e-26,1.65594069931146e-23
