"","P7_4_Ctrl1","P7_4_Ctrl2","P8_4_Ctrl3","P8_4_Ctrl4","P8_4_Ctrl5","P4_5_Ctrl1","P4_5_Ctrl3","P4_5_Ctrl2"
"Dpep2",226,498,415,558,377,52,3,34
"Stard8",427,858,748,951,695,147,82,94
"Zc3hav1l",501,1095,876,1233,768,149,62,91
"Nsg1",721,1483,1252,1767,1117,185,177,132
"Rab3il1",1207,2368,2036,2848,1699,352,218,286
"Tubb2b",2622,5368,4648,6560,3928,607,345,457
"Apobec1",761,1634,1226,1830,1193,174,175,108
"Crip1",369,865,667,1053,655,62,22,37
"Ebi3",29,76,82,100,70,2,1,2
"Crybg3",1326,2958,3407,4340,2942,259,76,132
"Slamf7",19,45,51,64,46,2,1,3
"Plcb2",19,44,52,58,37,2,1,2
"Mfap5",1186,2635,2993,3523,2472,566,32,415
"Lama2",1726,3739,4170,5249,3478,600,23,337
"Pyroxd2",189,360,430,509,338,79,11,50
"Cd22",28,81,79,94,73,5,5,5
"Pnma2",26,68,66,83,64,4,10,4
"Kcna3",6,21,19,23,16,4,1,2
"Sp100",139,353,325,362,263,57,15,40
"Adam5",64,142,121,169,146,25,1,21
"Mpped2",58,138,120,146,133,29,1,20
"Ms4a6c",136,338,253,361,266,12,10,18
"Prokr1",23,52,37,52,42,3,1,6
"Spocd1",9,24,15,23,18,3,1,2
"Tfpi2",79,180,107,184,138,10,1,10
"Mmp17",120,240,172,223,185,36,1,36
"C5ar2",33,57,39,59,44,12,1,5
"Kng1",21,38,27,38,31,8,1,2
"Capn11",22,36,39,40,27,4,1,3
"Clec4a2",54,103,109,116,69,9,8,8
"Gngt2",135,247,228,318,196,41,14,33
"Rapgef5",105,190,191,252,149,14,3,8
"Adam12",1182,2566,2430,3122,2150,308,7,165
"Nt5dc2",904,1837,1751,2179,1417,148,61,106
"Elmo1",534,1056,980,1293,857,132,70,76
"Stard9",2739,5395,5194,6677,4422,694,399,515
"Rasgef1a",109,216,227,269,181,24,11,31
"Alox5ap",443,882,909,1158,753,10,1,11
"Cnr2",127,245,254,303,200,20,9,6
"Egr2",44,86,87,105,68,22,1,9
"Tlr9",26,56,59,67,42,10,1,2
"Abcg3",36,74,72,81,56,8,1,4
"Trip13",157,325,285,351,220,50,28,28
"Aif1",41,54,53,59,48,2,1,1
"Il21r",104,140,131,171,135,17,9,7
"Cd48",405,704,564,796,622,2,1,1
"Milr1",176,336,250,350,291,27,34,16
"Nxpe5",77,153,124,157,131,10,2,8
"Pik3r6",31,63,55,61,54,2,2,4
"Creg2",100,174,162,193,155,13,15,8
"Slfn10-ps",84,151,128,147,120,14,23,10
"Lst1",69,122,107,138,86,3,1,6
"Ikzf1",137,221,203,272,171,6,2,1
"Pik3cg",305,526,432,607,383,6,2,3
"Ptpn7",291,623,505,674,438,15,5,21
"Stap1",180,367,312,407,274,2,1,4
"Arhgap19",803,1651,1266,1833,1182,139,87,96
"Sp140",94,187,145,210,135,9,3,6
"Fmo2",517,1149,910,1302,870,27,1,33
"Cd300ld",217,505,385,550,367,4,2,1
"Folr2",483,1051,821,1175,772,44,29,29
"Ptpn6",511,1100,852,1149,836,12,2,13
"Lcp1",3767,7710,6003,8546,6003,154,154,83
"Tlr7",739,1461,1147,1565,1147,15,8,19
"Cyth4",868,1683,1340,1879,1340,5,10,1
"Tlr8",392,774,620,856,637,1,7,1
"Sp110",87,155,128,186,127,5,1,7
"Smoc1",321,574,497,662,445,57,43,52
"Csf1r",3323,6623,5548,7631,5163,104,26,51
"Mrc1",1183,2205,1869,2548,1742,31,1,21
"Tm6sf1",274,500,380,577,389,9,28,9
"Ccl6",137,263,194,286,197,14,1,4
"Cd72",978,1883,1399,2076,1425,36,6,19
"Arrb2",615,1253,1020,1454,1002,98,186,87
"Cd33",219,404,347,464,326,4,44,3
"Msr1",686,1392,1253,1658,1256,4,1,4
"Ccl4",136,264,231,299,225,5,9,7
"Nfam1",345,765,650,842,624,2,1,3
"Dock8",695,1466,1244,1684,1214,152,150,98
"Il10ra",178,399,356,468,319,1,1,3
"Emr1",2623,5550,4961,6690,4742,8,2,7
"Wdfy4",444,957,880,1181,813,6,2,3
"Dock2",780,1551,1359,1911,1312,5,3,5
"Mpeg1",7515,15457,13254,18878,12842,21,20,8
"C1qa",1621,3067,2650,3675,2571,3,4,3
"Rgs1",177,332,293,417,281,2,1,1
"Traf3ip3",53,96,83,118,81,6,5,4
"Arl11",316,570,529,731,510,4,10,4
"Gp49a",2273,4494,4075,5639,4005,12,4,6
"Fcer1g",1383,2690,2388,3338,2329,11,3,11
"Lyz2",37214,75060,66158,92654,64966,141,51,89
"Eif2s3y",1468,2888,2609,3683,2492,2,2,3
"Nckap1l",1777,3572,3290,4462,3092,10,6,6
"Clec12a",535,1079,885,1275,849,13,24,7
"Arhgap30",598,1215,1016,1412,1000,6,1,7
"Kdm5d",833,1823,1511,2082,1452,3,2,1
"Lmo2",389,747,683,887,631,3,27,5
"C1qb",2467,4920,4270,5768,3845,6,7,2
"Cd36",2067,4284,3713,5090,3409,9,2,13
"C3ar1",2306,4656,4129,5663,3870,15,1,7
"Inpp5d",730,1468,1330,1756,1207,11,6,3
"Ccr3",2,15,11,15,11,1,1,2
"Clca5",4,22,17,22,19,1,1,2
"Sez6l2",13,44,49,68,54,7,2,5
"Cd5l",112,381,443,580,390,4,4,3
"Ceacam16",4,14,16,19,15,2,1,1
"Slc17a6",11,42,28,55,42,7,1,4
"Dact2",32,109,104,178,115,6,23,5
"Ptger2",18,42,31,66,40,4,10,1
"Arhgap4",140,271,193,335,211,24,4,5
"Ccrl2",42,67,46,82,54,14,5,7
"Abi3",76,144,87,202,102,12,1,14
"Sh2d1b1",26,52,35,78,41,3,1,1
"Slc28a2",10,19,10,25,14,1,2,1
"Arhgap15",15,32,19,39,21,2,1,3
"Epsti1",28,66,38,82,45,2,1,3
"B3gnt7",13,22,13,27,23,2,1,1
"Ms4a6b",34,75,44,81,68,5,2,2
"St18",72,93,86,137,98,7,1,4
"Gjc2",57,83,75,119,82,22,1,9
"Trim14",55,79,63,106,85,19,1,3
"Prl2c3",2271,5044,14122,17065,12105,645,2336,637
"Rnf183",3,13,42,54,27,2,1,4
"Lce1f",10,22,26,47,37,3,1,2
"Smpd5",13,28,37,65,44,5,1,2
"Treml4",4,8,10,20,14,2,1,1
"Nell1",53,70,139,170,117,24,8,7
"Grm7",11,17,29,36,30,4,1,4
"Mcoln3",297,580,857,1236,912,8,15,4
"Slc12a1",18,31,43,55,44,4,1,6
"Adra1a",40,76,116,149,110,8,21,1
"Foxd2",32,71,97,126,90,8,17,8
"Ankrd33b",72,139,248,307,207,23,3,7
"Slc11a1",510,1027,1601,2055,1304,22,8,27
"Ccbe1",370,622,1013,1435,941,154,111,80
"Foxd1",50,108,169,241,136,12,13,9
"Mid1-ps1",30,44,58,87,56,5,1,1
"Kcnip3",32,61,77,105,78,5,1,1
"Mmp12",2461,4839,6406,8886,6385,118,98,79
"Atp6v0d2",816,1605,1956,2647,1868,28,58,19
"Irf5",372,668,780,1097,747,58,90,26
"Adamts4",544,1033,1322,1912,1137,204,88,110
"F3",5546,11379,14342,21655,13361,2551,1257,1637
"Piezo2",811,1855,2518,3628,2182,293,55,155
"Atp1a3",119,308,344,541,319,11,3,8
"Hk3",646,1382,1701,2506,1531,1,2,2
"Shc2",1532,3154,3973,5472,3450,336,214,256
"Nid1",50757,110074,148524,197566,128278,28924,3823,19716
"Col4a2",35847,77256,93003,130393,82635,17434,1915,12025
"Plxdc1",199,437,562,748,462,63,2,40
"Naalad2",164,319,433,623,425,44,2,35
"Hoxa5",574,1302,1556,2317,1531,185,77,173
"Hoxa3",405,917,1139,1604,1038,137,62,94
"Kcnj15",653,1353,1688,2284,1554,259,121,184
"H2-M9",6,11,21,25,12,4,1,1
"B3gnt3",62,118,128,216,119,9,1,6
"C2cd4c",20,48,55,85,43,3,6,4
"Crmp1",391,778,870,1342,731,83,142,51
"Slc27a6",60,100,145,182,104,20,14,7
"Tjp3",16,24,31,40,22,2,2,5
"Jakmip2",34,78,95,145,97,22,1,13
"Pla1a",58,104,141,235,141,28,3,24
"Aldh1l1",180,378,539,811,504,87,5,49
"Igfbp6",946,1958,3005,4485,2513,405,42,328
"Inpp5j",21,29,48,78,40,10,1,1
"Pck1",20,23,35,49,29,7,1,3
"Slc16a11",57,95,138,206,111,12,1,13
"Tmem121",29,42,65,96,56,3,1,2
"Asb10",7,20,23,42,19,5,1,3
"Tox2",5,23,24,54,22,5,1,3
"Akr1c12",8,11,16,28,11,1,1,2
"Ptpn18",27,55,67,127,48,2,7,1
"Ccdc88b",78,230,205,356,221,23,6,9
"Kcnk13",79,185,149,269,171,18,7,16
"Cmtm8",8,21,19,36,19,3,1,2
"Cdc42ep5",217,509,495,776,419,114,6,62
"Syt1",28,53,48,83,45,11,1,7
"Pou2f2",39,64,53,121,50,3,1,3
"Mmp9",27,42,40,68,34,8,1,6
"Nptx1",215,345,323,497,257,73,23,46
"Cx3cr1",93,238,78,93,97,7,11,6
"Trem1",19,46,16,24,15,2,1,7
"Crabp1",1226,2521,688,1082,629,317,3,129
"Gdf10",69,125,50,86,49,26,1,11
"Rps16",2890,4796,2730,213,742,153,13,24
"Bex4",17,23,22,13,8,4,1,2
"Ccl11",30,29,24,21,7,1,1,6
"Adam18",4,14,18,11,12,3,1,1
"Cd244",42,61,55,54,55,3,1,3
"Prrt2",46,71,60,66,56,11,6,10
"Evi2",41,81,75,63,67,6,1,1
"Prss16",20,32,27,23,24,2,1,2
"Rbpsuh-rs3",305,478,542,452,310,108,1,76
"Rnase10",33,51,62,53,44,5,1,9
"Tmem156",12,23,25,21,17,1,1,2
"Oas1g",33,55,33,52,15,8,1,3
"Gdf3",11,19,11,16,7,2,1,1
"Nlrp3",48,87,47,67,35,7,2,2
"Olfr1372-ps1",21,68,40,44,27,2,8,1
"Cyp2d22",119,292,260,244,189,40,5,33
"Ankle1",68,176,120,126,84,34,1,11
"Klhl33",18,54,38,43,27,2,1,3
"Atp6v0a4",10,38,32,40,18,4,1,3
"Slc43a1",19,53,56,57,33,8,1,5
"Bcl2a1d",31,104,59,99,44,1,3,1
"Hcar2",11,26,17,26,10,1,1,1
"Cd86",34,72,60,79,44,9,14,2
"Mxd3",81,174,153,194,101,16,25,13
"AU020206",99,196,155,204,112,30,4,19
"Eme1",109,218,186,222,119,27,11,22
"Pif1",115,243,192,229,129,13,1,10
"Tlr1",33,95,66,91,61,6,17,5
"Mmp27",18,49,35,43,32,6,5,3
"Spc24",86,218,137,193,137,31,18,19
"Wt1",34,91,58,85,60,13,1,5
"Pyhin1",79,168,110,182,113,17,1,18
"Tnfaip8l1",19,42,26,42,29,6,1,6
"P2rx7",188,351,264,396,235,57,13,40
"Fkbp5",355,722,539,774,467,144,15,84
"Slc43a3",292,618,474,652,411,104,33,79
"AI662270",72,162,108,180,100,3,1,2
"Cldn15",52,96,64,103,57,14,1,8
"Slco4a1",367,685,474,700,428,108,61,64
"Cdca3",445,909,652,822,565,141,45,118
"Fam111a",1203,2515,1707,2272,1613,442,97,257
"Gpr149",1589,3363,2356,3309,2187,521,218,360
"Mcm3",881,1978,1358,1846,1265,256,211,173
"Mcm5",771,1667,1229,1562,1058,222,121,132
"Plk1",381,864,632,783,500,69,14,51
"Ly86",65,149,95,133,84,3,1,2
"Ube2c",584,1161,836,1076,696,99,58,56
"C5ar1",801,1592,1083,1380,963,5,2,4
"Ccl9",655,1285,847,1131,754,55,27,25
"Cd83",129,265,191,223,161,12,5,9
"Rnf144a",119,217,164,201,146,24,11,14
"Clec1a",22,46,34,39,26,5,1,2
"Ulbp1",204,452,359,392,268,28,2,21
"Arhgef39",75,166,124,149,109,5,7,10
"Csf3r",45,98,70,83,68,10,1,5
"Cd93",1037,2049,1442,1943,1431,58,5,49
"Ly9",184,353,258,345,262,13,1,3
"Ifi27l2b",264,561,411,549,429,40,16,23
"Rasal3",72,133,101,137,105,7,1,4
"Cd52",186,387,247,378,255,5,1,1
"Lcp2",151,323,207,298,231,9,21,18
"AB124611",108,219,152,223,167,10,19,10
"Arhgap25",206,480,316,481,330,1,14,3
"Igsf6",150,312,232,325,228,43,28,15
"Fmnl1",408,984,718,1043,702,21,1,15
"Rassf4",417,948,688,1008,660,57,60,59
"Brinp3",150,333,239,368,237,14,1,5
"Cdh10",343,756,536,801,537,81,24,45
"Tbxas1",176,348,264,375,247,18,6,10
"Tnfrsf11a",274,523,397,549,363,47,11,38
"Clca1",1044,2298,1599,2209,1530,150,24,89
"Pde3b",748,1544,1097,1493,1076,164,28,92
"Nek2",483,927,705,925,652,142,46,93
"Olr1",493,1045,774,1076,724,125,1,104
"Arhgap18",318,677,516,645,471,113,21,70
"Kcnab1",1714,3649,2873,3639,2404,529,156,404
"Vav1",384,947,715,927,671,4,1,4
"Cd300lh",236,591,491,623,441,1,1,1
"Evi2b",270,600,496,624,421,13,28,7
"Ifi27l2a",40,79,46,39,40,2,1,1
"Pla2g4c",21,40,26,24,26,4,1,7
"Casc5",424,931,457,537,421,98,14,65
"Depdc1b",60,128,64,74,61,10,1,13
"Kif15",319,719,408,468,370,87,22,38
"Kif23",580,1309,750,876,635,124,56,94
"Depdc1a",206,442,215,281,212,28,1,24
"Mki67",2617,5476,3002,3644,2689,290,10,190
"E2f8",184,339,163,219,171,52,1,13
"S1pr3",1606,3313,1755,2243,1444,531,31,369
"Ska1",57,125,61,82,56,18,1,14
"Aoc3",216,470,226,337,215,28,1,20
"Ccna2",666,1417,718,964,734,220,41,101
"Esco2",218,490,232,339,241,61,8,40
"Sapcd2",27,59,32,46,40,4,1,8
"Cdc25c",141,243,155,196,163,22,2,22
"P2ry12",28,46,32,39,36,1,1,3
"Slamf9",95,186,121,149,135,2,2,4
"Phf19",159,323,199,243,156,53,1,26
"Efcab11",45,96,62,78,51,14,2,13
"Neil3",178,367,232,301,208,49,5,34
"Espl1",336,730,446,531,399,40,19,32
"Ccnb1",927,1979,1203,1440,1056,141,3,86
"Kntc1",618,1239,769,918,675,84,10,58
"Bub1",488,945,588,724,562,81,3,53
"Sgol1",245,477,281,358,271,60,26,35
"Tmem51",46,96,63,72,57,12,1,4
"Kif4",424,994,621,720,542,76,2,40
"Nuf2",350,820,492,567,450,63,30,39
"BC030867",148,284,176,246,159,31,2,18
"Dlgap5",558,1175,719,1003,704,108,26,88
"Ncapg2",992,1969,1278,1709,1199,279,95,202
"D17H6S56E-5",1330,2900,1858,2420,1715,272,33,162
"Ccnb2",519,1119,694,945,642,63,6,40
"Cdc20",725,1511,955,1260,875,136,55,90
"Birc5",441,963,615,765,506,108,46,76
"Kif14",215,474,288,365,245,45,9,39
"Prc1",1258,2756,1672,2191,1494,284,107,166
"Uhrf1",572,1296,792,1072,706,112,30,69
"Bub1b",634,1415,870,1090,779,179,65,106
"Mcm10",231,521,311,404,288,55,12,44
"Kif20a",1684,3561,2388,2978,2036,305,177,244
"Ncapd2",1773,3702,2443,3114,2105,504,308,327
"Fam64a",336,713,430,577,417,45,7,30
"Kif20b",545,1130,715,890,665,148,97,95
"Cep55",285,622,358,465,375,73,33,38
"Ndc80",424,922,505,663,548,92,30,63
"Asf1b",243,560,335,438,333,62,45,49
"Nusap1",421,1047,573,765,558,91,57,55
"Shcbp1",221,506,280,403,277,37,13,31
"Lmnb1",397,825,446,656,445,125,36,90
"Prr11",406,901,488,721,472,128,35,72
"Kif11",713,1563,936,1111,827,172,44,132
"Kif2c",518,1109,660,813,566,99,9,66
"Ckap2l",603,1389,772,957,686,85,7,77
"Top2a",2727,5854,3293,4133,2952,568,104,310
"Grik1",56,117,67,85,60,15,1,10
"Ect2",593,1230,670,913,658,188,59,130
"Iqgap3",537,1161,623,855,566,113,11,65
"Cdkn3",59,157,101,112,98,14,19,5
"AI504432",40,94,59,58,57,11,1,8
"Matn3",25,70,43,46,40,7,1,4
"Fmo6",7,35,12,23,21,2,1,1
"Lrr1",37,60,27,53,35,3,1,11
"Pde11a",12,26,11,21,14,4,1,2
"Rab19",16,45,18,40,29,8,1,3
"Clec4a1",18,40,23,37,21,4,2,4
"Krt19",223,513,312,460,286,91,10,54
"Ccr1",14,33,17,30,20,3,1,4
"Sim1",97,220,125,190,138,11,1,16
"Ercc6l",274,541,339,506,365,89,32,47
"Zc3h12d",59,135,78,124,86,11,2,4
"Aox3",91,148,82,140,92,24,3,14
"Exo1",145,255,150,249,160,32,8,22
"Gpr183",15,31,15,30,22,4,1,2
"Tnni2",15,32,17,33,23,3,1,3
"Sytl3",1,2,5,9,2,23,10,4
"Cnksr2",2,2,2,4,4,12,5,4
"Zfp853",3,6,3,8,6,22,13,10
"Plac1",3,2,1,11,2,24,1,8
"Car2",1,13,5,8,4,39,9,18
"Olfr1309",7,16,11,12,4,41,17,17
"A2m",5,5,2,12,8,142,18,41
"Pgpep1l",5,11,12,13,9,56,10,20
"Csmd1",2,8,2,17,5,88,19,38
"Slc35f1",72,167,111,182,122,510,219,299
"Csmd3",36,91,126,143,126,561,196,279
"Pm20d1",36,99,103,140,74,353,139,186
"Slitrk4",2,13,6,5,7,47,21,44
"Klhl40",1,3,3,5,2,20,9,21
"Rab9b",5,9,8,10,9,26,13,27
"Cacna1i",6,9,10,17,6,31,15,27
"Vwc2",14,17,21,30,9,74,30,68
"Asb5",2,6,15,17,9,42,22,42
"Faim2",5,2,10,11,2,49,27,50
"Arhgap27os1",3,7,3,12,5,18,16,18
"Rasgrf1",4,12,6,16,12,31,20,28
"Nrxn1",10,25,18,20,17,42,33,50
"St8sia1",9,22,26,30,25,52,45,59
"Mylk2",23,46,34,51,55,173,56,118
"Stmn2",431,931,1382,1912,1245,6593,1905,5335
"Dnah8",24,54,81,98,91,691,114,502
"Myh14",21,36,61,85,85,370,68,287
"Flrt1",29,63,91,128,83,282,107,175
"Nmnat2",83,223,253,403,260,903,285,551
"Kcnu1",12,14,24,35,18,76,23,54
"Camk2a",56,127,156,221,142,672,126,446
"Lama5",600,1048,1073,1513,890,3941,864,2737
"Trabd2b",177,399,555,667,415,1650,460,1179
"Wnt10b",22,46,50,73,42,170,50,112
"Tbx5",82,194,108,145,74,443,195,338
"Ackr3",327,749,406,542,347,1731,960,1230
"Bcar3",54,128,79,97,76,285,143,199
"Kcna1",6,14,8,17,3,88,37,48
"Gabra1",22,35,19,23,19,135,59,80
"Kank4",22,39,20,26,18,178,56,90
"Tmem35",62,146,131,146,88,374,175,264
"Cyyr1",28,72,51,70,41,238,87,145
"Xkr4",19,41,33,43,22,147,43,88
"Popdc3",14,26,25,29,15,85,28,63
"Galnt3",26,74,61,82,39,332,92,250
"Pcdh10",51,97,91,97,59,352,127,272
"Cdh17",23,47,47,58,47,145,62,112
"Ppp1r9a",91,186,178,246,164,596,272,445
"Chd5",117,259,363,418,273,1456,454,993
"Plekha6",108,194,198,257,139,747,279,502
"Gja1",3471,7474,5594,7238,4694,26122,10802,18817
"Gprc5a",209,481,373,526,337,1794,714,1339
"Limch1",265,601,369,457,363,2403,777,1844
"Cadm2",42,105,64,90,62,679,161,460
"Lrrtm2",11,23,13,23,21,117,37,81
"Aldh1a7",334,728,770,927,600,3738,1558,3001
"Cbr2",161,278,278,390,224,1395,641,1122
"Gpr64",116,252,306,365,223,2270,761,1658
"Bmp4",49,96,67,92,56,1158,308,870
"Sema3f",219,526,477,710,426,4881,1601,3873
"Sema3b",193,435,646,904,543,2288,1050,1760
