"","P7_4_Ctrl1","P7_4_Ctrl2","P8_4_Ctrl3","P8_4_Ctrl4","P8_4_Ctrl5","P4_5_Ctrl1","P4_5_Ctrl3","P4_5_Ctrl2"
"Rab11fip4",3,14,9,16,10,9,85,16
"Fut9",5,2,5,4,3,7,41,2
"Cyp2j8",1,2,5,2,3,5,27,3
"Fam219aos",4,5,10,4,5,15,63,5
"Ckmt2",2,2,3,3,3,2,17,3
"Ranbp3l",7,18,25,29,28,24,235,24
"Lin7a",8,7,12,22,17,40,269,42
"Pou4f3",5,1,1,3,3,6,66,9
"Lrrc3b",9,14,13,14,8,17,87,12
"Grhl1",8,20,11,19,13,17,171,22
"Dlx3",2,5,2,1,1,8,114,5
"Ldoc1",8,15,5,5,5,10,317,6
"Grik3",11,31,25,35,35,43,237,34
"Sall1",2,7,8,7,10,18,128,8
"Ces1d",1,3,2,3,2,19,265,22
"Ces1f",2,1,3,2,4,25,241,19
"Gabra2",3,13,10,12,11,40,366,22
"Nwd2",2,1,4,4,2,11,136,4
"Npbwr1",5,8,11,8,8,13,136,13
"Rnase1",1,1,3,1,3,5,50,3
"Lcn2",2,2,1,2,1,2,7,2
"Slc16a14",1,6,6,6,2,5,34,10
"Trbc2",6,24,9,9,1,19,48,9
"Arhgap20os",4,15,4,2,6,12,48,1
"Eif2c5",2,6,2,4,3,5,17,2
"Eya2",2,7,5,2,3,5,22,3
"Nap1l5",47,121,73,106,70,137,413,84
"Sh2d2a",1,5,3,4,2,4,14,3
"Fgf2os",1,12,5,15,6,14,32,6
"Tmem181c-ps",5,31,21,48,15,44,94,27
"AI593442",30,60,25,54,46,101,352,83
"Bmp15",2,5,3,5,3,8,34,6
"Cdkl4",7,25,18,23,22,32,112,30
"mt-Tq",14,42,37,31,26,53,188,41
"Isl1",5,19,7,2,3,32,125,32
"Odf3l1",3,8,6,6,5,13,31,8
"Pm20d2",4,17,11,8,9,19,52,15
"Olfr1310",6,15,7,9,11,19,37,14
"Slc24a2",28,51,27,45,23,106,223,63
"Il17rb",9,25,15,22,10,66,198,59
"Anxa10",1,4,4,4,3,11,29,8
"Trank1",10,24,20,26,21,49,124,42
"Rps27",1,1,1,767,116,663,2939,91
"Slc45a1",14,13,16,28,12,26,86,19
"Lef1",25,44,63,71,49,68,283,60
"Ascl1",1,3,6,8,3,9,61,6
"Bend7",5,8,18,22,12,24,128,23
"Msx1",3,9,11,20,7,23,83,18
"Efna1",45,79,99,123,78,179,652,159
"Scube3",51,155,133,178,125,266,851,196
"Cd200r2",9,12,16,15,5,29,95,15
"Syt4",19,28,24,45,26,91,365,43
"Tacr1",11,20,27,44,23,55,148,27
"H2-Ab1",17,19,39,48,35,83,207,46
"Itga2",37,86,108,116,64,252,702,108
"Nkx6-1",9,18,18,28,19,57,168,31
"Rab27b",133,241,234,300,248,568,1509,346
"Apol7d",7,9,10,21,17,29,68,26
"Cyp3a13",7,13,10,23,20,25,70,19
"Gtf2a1l",3,3,1,4,4,6,15,3
"Trim54",1,5,7,13,16,37,164,29
"Esm1",29,58,82,108,68,2054,7885,1481
"Tfap2b",5,1,3,3,3,14,57,9
"Gpr37",2,2,5,3,2,29,130,15
"Plp1",65,114,115,153,84,538,2329,302
"Serpinb7",28,51,36,47,37,192,897,127
"Pax8",3,2,1,1,3,6,5,4
"Aldh1a2",1,11,7,10,11,27,30,19
"Dmp1",2,8,6,8,10,18,16,15
"Slc4a10",7,11,13,11,9,179,122,118
"Plagl1",636,1255,853,1135,732,12141,9721,8504
"Tbx4",17,18,10,15,8,1323,974,937
"Pitx1",2,5,4,7,4,872,726,731
"Mab21l2",6,10,13,11,9,425,307,369
"Wnt10a",4,8,7,8,5,198,136,153
"Bend5",5,19,18,25,15,93,71,75
"Rab3b",43,99,128,145,86,734,538,618
"Lmcd1",15,34,27,53,25,181,120,136
"Cdr1",3,7,4,9,5,53,39,39
"Unc5c",539,1102,844,1069,759,4765,3248,3383
"Hspb2",12,16,17,32,14,139,128,113
"Cnksr1",21,46,42,48,30,163,145,124
"Dmc1",14,23,42,42,26,182,151,126
"Clip4",49,106,108,153,123,765,598,524
"Ckmt1",10,22,28,42,25,204,171,142
"Slitrk5",150,287,353,410,311,1687,1390,1193
"H60b",17,20,21,25,25,78,65,46
"Asb16",7,8,17,19,10,74,57,42
"Col15a1",23,40,65,57,41,404,286,219
"Kcna6",26,45,33,36,27,245,243,130
"Nt5e",17,41,17,27,18,156,140,74
"Cadm4",31,116,93,97,90,637,542,404
"Lrp1b",11,14,11,23,11,146,126,90
"Lhx9",313,585,407,582,409,1665,1511,1077
"Prss35",101,181,211,201,139,731,682,463
"Cyp2c44",7,11,3,8,8,30,30,22
"Cybrd1",15,12,11,18,12,39,37,30
"Prrt1",11,13,5,23,15,56,64,39
"Derl3",18,31,38,53,38,128,133,115
"Rnf208",2,8,8,12,9,33,33,28
"Foxl1",11,21,34,38,28,119,135,118
"Tmem59l",6,23,29,37,22,134,148,114
"Spata18",3,1,3,4,5,21,21,14
"Abcb1a",47,82,104,111,105,365,379,231
"Dlx1",20,32,40,40,34,115,123,88
"Hoxc13",20,56,56,76,45,308,321,204
"Hoxa11os",14,17,21,16,23,133,145,117
"Tmem229a",3,7,2,7,8,56,57,35
"Got1l1",10,16,17,34,12,1208,1436,890
"Hoxa11",29,45,32,45,15,456,514,312
"Serpinb10",2,4,5,6,5,30,34,20
"Ano1",200,469,437,541,346,2296,2658,1681
"Hoxc10",76,177,133,165,113,1040,1255,735
"Cited4",5,2,5,5,1,16,12,4
"Spef2",5,4,12,7,7,29,26,5
"Ccdc13",5,7,21,20,20,38,32,30
"Hid1",59,129,174,294,174,379,406,332
"Mmp24",9,6,16,14,13,30,29,27
"Ptchd2",1,1,7,9,7,36,26,27
"Tmem56",28,53,79,70,60,223,186,173
"Vwa7",23,32,54,54,27,136,120,117
"Rai2",63,109,149,207,116,360,339,263
"Slc25a48",6,13,24,32,20,59,54,36
"Abhd11os",27,46,64,88,55,228,174,124
"Ppp2r2c",50,90,175,274,155,637,427,383
"Dkkl1",2,10,9,11,5,25,16,15
"Myoz2",3,10,15,16,8,50,31,19
