Gene_name,468-4_LPS,685-2_LPS-2,697-3_LPS-2,697-1_LPS-1,697-5_LPS,697-2_LPS,685-1_LPS,468-6_LPS,685-2_CTRL-3,697-3_CTRL-3,697-1_CTRL-3,468-4_CTRL,685-1_CTRL,697-5_CTRL,697-2_CTRL,468-6_CTRL
Pole,28,804,279,1259,113,65,547,87,560,858,810,356,456,46,536,9
Pole2,6,73,31,150,25,10,82,16,91,130,130,69,84,7,118,0
Pole3,89,644,265,1235,1015,248,1826,688,380,814,713,998,997,261,1142,59
Pole4,42,378,129,677,649,145,745,295,217,499,352,573,456,154,678,27
Polg,154,1301,657,2020,1836,440,3122,1244,785,1819,1270,1649,2077,500,2696,89
Polg2,9,79,33,92,83,22,106,70,59,106,81,110,110,19,134,4
Polh,75,719,365,1123,706,147,1444,475,432,944,624,734,773,191,919,29
Poli,20,171,77,361,135,38,379,97,133,335,249,276,303,53,315,17
Polk,303,1646,873,3355,2397,557,4307,1724,993,2845,1783,2866,2941,725,3039,166
Poll,28,220,100,414,356,60,631,232,172,360,284,368,492,108,528,23
Polm,44,496,187,804,413,92,879,357,446,721,768,587,636,148,713,35
Poln,4,31,9,51,43,11,56,45,11,29,25,34,36,14,31,2
Polq,18,208,96,455,58,30,211,31,148,249,241,157,155,30,201,4
Polr1a,264,2253,1156,3843,2555,713,5748,1826,1145,2954,1670,2415,2883,634,3501,158
Polr1b,68,631,267,1149,632,182,1981,567,333,729,478,571,851,197,1049,34
Polr1c,122,1199,515,1439,2048,350,2492,1010,663,1425,1016,1492,1469,404,1811,81
Polr1d,197,1152,617,1529,1713,345,2254,986,674,1673,1004,1987,1345,363,1814,62
Polr1e,47,474,190,686,411,88,733,268,247,588,384,545,329,95,441,22
Polr2a,1126,8697,4208,16033,11362,2560,18815,7779,6802,14903,11186,11799,14342,3521,18853,734
Polr2b,338,2155,1137,3686,3720,783,5290,2419,1653,3801,2665,3401,3427,1007,4396,235
Polr2c,44,303,194,539,765,135,1012,425,160,463,289,489,525,133,575,30
Polr2d,69,403,243,727,868,194,1356,534,288,656,434,765,725,183,814,49
Polr2e,170,1472,614,2054,2538,496,3907,1514,665,1546,1083,1961,2043,585,2777,98
Polr2f,111,719,442,792,1418,187,1433,839,413,1008,497,1135,890,301,1030,70
Polr2g,329,1657,801,2577,6937,1244,5936,2979,887,2409,1454,2745,2656,902,3547,215
Polr2h,39,357,166,657,686,130,1000,400,208,455,343,513,471,152,618,32
Polr2i,27,315,155,403,399,48,620,306,186,441,284,422,418,92,556,21
Polr2j,80,677,342,907,1002,185,1379,657,374,958,520,911,887,239,1100,66
Polr2k,4,22,17,27,48,10,52,25,16,35,23,24,28,9,38,1
Polr2l,12,98,50,182,175,31,233,83,53,151,84,162,137,54,168,10
Polr2m,693,4357,2144,8777,6869,1669,11394,4266,2569,6441,4945,7560,6533,1618,7373,341
Polr3a,173,1157,551,1842,1773,416,2792,1039,644,1681,1024,1445,1572,496,2174,83
Polr3b,107,1041,413,1774,1440,406,2567,841,675,1361,1040,1196,1506,326,1916,68
