468-4_LPS,wt,LPS
685-2_LPS-2,wt,LPS
697-3_LPS-2,wt,LPS
697-1_LPS-1,wt,LPS
697-5_LPS,mut,LPS
697-2_LPS,mut,LPS
685-1_LPS,mut,LPS
468-6_LPS,mut,LPS
685-2_CTRL-3,wt,Control
697-3_CTRL-3,wt,Control
697-1_CTRL-3,wt,Control
468-4_CTRL,wt,Control
685-1_CTRL,mut,Control
697-5_CTRL,mut,Control
697-2_CTRL,mut,Control
468-6_CTRL,mut,Control
