"","Gene_name","P4_5_1","P4_5_2","P4_5_3","P7_4_1","P7_4_2","P8_4_3","P8_4_4","P8_4_5"
"1","0610005C13Rik",-12.1278774622856,1.97331212759543,-6.59201031374093,-3.26011746956598,-11.1217045375741,3.47468912583358,-33.5809762379563,-3.24210426999801
"2","0610007P14Rik",-4.93098945428972,-87.951707715345,-35.401850748682,-56.139549242572,-71.9098550331266,-32.3522783820446,-150.222666828128,-19.963475849333
"3","0610009B22Rik",-53.9700753027336,-48.1998881091251,-72.044327177165,-83.1747818547049,-51.3061629719282,-9.08132888542616,-316.400386345691,-69.8358359014065
"4","0610009E02Rik",7.7905355714598,-17.558209448875,7.05057021178798,-6.39228561965242,-8.00832946235888,11.594695091358,60.2718801626254,-7.6865199771816
"5","0610009L18Rik",-5.18740295190027,-9.50342764815782,2.99569829605214,-13.0210184626258,-9.38804520802588,-7.41502834496172,0.473286157072568,3.40743816265332
"6","0610009O20Rik",-24.1534012922129,-36.361303784947,-86.9781183955633,-58.8044433588418,-43.8662309834353,-118.190483594554,126.480294933549,-45.7159481014335
"7","0610010F05Rik",-9.13275009427002,18.125103398938,-5.77675115584839,-7.85246196801654,44.3890799937441,-61.8447770588805,-486.155175077033,-61.9688477905497
"8","0610010K14Rik",-5.49667370084074,-14.8840469104609,-23.7466460786761,-26.0642252042189,7.87168624220567,74.9328075732532,-162.241407531786,129.426435525416
"9","0610011F06Rik",-6.0526888748733,-51.7726146460049,-15.7562084654326,-35.44127823884,-36.8979071368373,-90.7098446182269,68.7773925600046,16.0084293516143
"10","0610012G03Rik",-20.2971012843627,-14.8526047566977,-61.4648928149121,6.37283420401427,-15.8126431903838,-48.7859149385879,7.17444989656795,25.4122904591757
"11","0610030E20Rik",32.1995830156593,-10.5234585278104,3.34152733914175,-21.3603525662639,6.55317510831298,-28.0336820623401,159.041863113828,49.6224123259864
"12","0610031J06Rik",-360.796304193268,-175.556159359634,-404.916958386129,-291.75182471736,-414.199398748528,-402.274502075967,138.212903943357,74.9157715293086
"13","0610031O16Rik",6.18549223102874,-1.86389841629477,3.93413407967931,3.23230877777334,9.64614882714658,1.38844139384829,-45.6499194191876,10.0255570333492
"14","0610037L13Rik",50.1615526146516,-34.903181650409,66.4619126418892,6.79025795323776,-6.69124210796735,-152.619163218939,-466.665997908786,24.8946649165093
"15","0610039K10Rik",1.20749280259495,-1.1570214205331,-0.365288966815683,-2.43118375627816,1.04380145671471,1.58474122656212,1.0762835743326,1.70234973418033
