"","x"
"316","Anxa8"
"317","Apln"
"318","Esrrb"
"319","4430402I18Rik"
"320","Nrn1"
"321","Sox5"
"322","Net1"
"323","Ndrg2"
"324","Dnajc6"
"325","Gm8995"
"326","Klrg2"
"327","Lyrm1"
"328","Gata3"
"329","Vma21"
"330","Myh14"
"331","Kcna1"
"332","Gm2670"
"333","St8sia1"
"334","Rassf9"
"335","Gm3435"
"336","Exoc3l2"
"337","Dnah8"
"338","Trank1"
"339","Grm4"
"340","Dync2li1"
"341","Nipal3"
"342","Olfr1314"
"343","Galnt3"
"344","Glb1l2"
"345","Il13ra2"
"346","Mpv17l"
"347","Zfp536"
"348","Pfn4"
"349","A2m"
"350","Fmnl2"
"351","Cd59b"
"352","Rab39b"
"353","Kank4"
"354","Slc24a2"
"355","Fgf9"
"356","Sybu"
"357","Xkr4"
"358","Slc5a7"
"359","Ldhd"
"360","Gp1ba"
"361","Lmo1"
"362","Fbxo32"
"363","Cxxc5"
"364","Cytip"
"365","Slc8a3"
"366","Ces2g"
"367","Mmp28"
"368","Ccdc90b"
"369","Bpgm"
"370","Gpr37"
"371","Akr1b7"
"372","1810021B22Rik"
"373","1700003E16Rik"
"374","Scube3"
"375","Fam83g"
"376","2310030G06Rik"
"377","S100a7a"
"378","Rarb"
"379","Map7"
"380","Wnt10b"
"381","Flrt1"
"382","Mtus2"
"383","Sema4f"
"384","Efna5"
"385","Plb1"
"386","Plp1"
"387","Eaf2"
"388","Insc"
"389","Tshr"
"390","Tnfsf15"
"391","Rhpn2"
"392","Slc4a8"
"393","Celf5"
"394","Serp2"
"395","Lin7a"
"396","Il16"
"397","Sult4a1"
"398","Ggh"
"399","Fam81a"
"400","Itih5"
"401","Trabd2b"
"402","Efcab2"
"403","Des"
"404","Nes"
"405","Cxxc4"
"406","Cnga3"
"407","Il7"
"408","Ttc9"
"409","Slc35f3"
"410","Tnfrsf11b"
"411","Gch1"
"412","Nr4a2"
"413","Zfp874a"
"414","Kcna2"
"415","Gm4070"
"416","Cadm2"
"417","Aig1"
"418","Il33"
"419","Rbm24"
"420","Stc2"
"421","Pramef12"
"422","Maneal"
"423","Gstt2"
"424","Abca8b"
"425","Nwd1"
"426","Ces1d"
"427","Acss3"
"428","Ptpru"
"429","Srcin1"
"430","Erbb3"
"431","Gm20546"
"432","Aldh1a2"
"433","Slc8a2"
"434","Mustn1"
"435","2810032G03Rik"
"436","Mmp15"
"437","Tcf7"
"438","Lum"
"439","Gm17552"
"440","Gal3st1"
"441","Slc22a18"
"442","Jag2"
"443","Spata18"
"444","Msx2"
"445","1500009L16Rik"
"446","Syt7"
"447","Rnd1"
"448","Enpp5"
"449","Gm11847"
"450","Serpinb7"
"451","Gimap6"
"452","Cacna2d3"
"453","Btc"
"454","B230206L02Rik"
"455","Tph2"
"456","Comp"
"457","Elavl2"
"458","Gnai1"
"459","Lrrn1"
"460","Wnk3"
"461","Ggct"
"462","Ap3m2"
"463","Jph3"
"464","Extl1"
"465","Scg5"
"466","Arhgap29"
"467","Chil1"
"468","Rhbdl2"
"469","Susd4"
"470","Kif9"
"471","1700001C19Rik"
"472","Fxyd1"
"473","Ces1f"
"474","Wfdc1"
"475","Plekha7"
"476","Reep2"
"477","Crnde"
"478","3632451O06Rik"
"479","Gm15541"
"480","Rnf208"
"481","Kdm6a"
"482","Tpd52l1"
"483","Slitrk4"
"484","Tmtc1"
"485","Hspb6"
"486","Gas1"
"487","Rgs17"
"488","Esam"
"489","Onecut2"
"490","Stard10"
"491","Dnajb9"
"492","Itga2"
"493","Stmn2"
"494","Homer2"
"495","Napb"
"496","Gabra1"
"497","Carns1"
"498","Crlf1"
"499","Cyp4b1"
"500","Rasgrf1"
"501","Mal2"
"502","Il17rb"
"503","AI661453"
"504","Dusp15"
"505","Arhgap6"
"506","Fndc3a"
"507","Cacna1i"
"508","Myo5c"
"509","Chst7"
"510","Qrfpr"
"511","Lhfpl1"
"512","Gabra2"
"513","Fam110c"
"514","Camk2a"
"515","Tmx2"
"516","Pde1c"
"517","9130208D14Rik"
"518","Vnn1"
"519","Ier3"
"520","Eva1c"
"521","Ccdc13"
"522","Morn2"
"523","2010107G23Rik"
"524","Sgcg"
"525","C630028M04Rik"
"526","Mettl7a3"
"527","Nme5"
"528","Isl1"
"529","Flrt3"
"530","Cpne7"
"531","Bend7"
"532","Efna1"
"533","Rnf39"
"534","Rragb"
"535","Olfm1"
"536","Emr4"
"537","Ackr3"
"538","Leprel1"
"539","Mylk2"
"540","Zrsr1"
"541","Galnt5"
"542","Ccdc68"
"543","Apol7d"
"544","Trpm3"
"545","AI593442"
"546","Klhl40"
"547","Trim54"
"548","Itgb6"
"549","Irf6"
"550","Pdgfd"
"551","Stxbp6"
"552","Rundc3b"
"553","Cybrd1"
"554","Catsperg1"
"555","Rtn4r"
"556","Ccdc122"
"557","Gm13415"
"558","Dach2"
"559","Cyp2c44"
"560","Ppp1r26"
"561","Panx2"
"562","Ccdc65"
"563","Ldb3"
"564","Lrrtm2"
"565","Arid5a"
"566","Zfp711"
"567","D930007P13Rik"
"568","Nrxn1"
"569","Epha7"
"570","Kcnj4"
"571","Rab9b"
"572","4930461G14Rik"
"573","Pmp2"
"574","Nkx6-1"
"575","Tgm5"
"576","Hapln4"
"577","Tfcp2l1"
"578","Morn4"
"579","Akap6"
"580","Tmem140"
"581","Ubxn11"
"582","Rab27b"
"583","Gm10094"
"584","Fgf1"
"585","Lpo"
"586","Fam154b"
"587","Ttbk1"
"588","Fhl4"
"589","Gm26867"
"590","Nwd2"
"591","Rtp4"
"592","Mettl21a"
"593","Ifi47"
"594","Ramp1"
"595","Csmd1"
"596","Glis3"
"597","Hotair"
"598","Cdkl4"
"599","Gstm7"
"600","2900026A02Rik"
"601","Ptchd2"
"602","Lztfl1"
"603","Ikzf4"
"604","Ppfia2"
"605","Cbln2"
"606","Bcl11a"
"607","Gm13135"
"608","Nqo1"
"609","Klhl30"
"610","Gm15319"
"611","Nhlrc1"
"612","Smim8"
"613","5530601H04Rik"
"614","Art3"
"615","Ifitm10"
"616","Egf"
"617","Stk38l"
"618","Akr1c14"
"619","Sap18"
"620","Gm14964"
"621","Apoh"
"622","Mpc1"
"623","Irx3os"
"624","Lama5"
"625","Rora"
"626","Samd12"
"627","Naip1"
"628","Hand2"
"629","Car2"
"630","Vwc2"
"631","Vwa1"
"632","Olfr1309"
"633","Epha3"
"634","Slc2a12"
"635","Exph5"
"636","Dkkl1"
"637","Kcnc3"
"638","Col22a1"
"639","Plekhh2"
"640","Ostn"
"641","Gm14137"
"642","Proser2"
"643","Car12"
"644","Cst3"
"645","Gm14168"
"646","Clec11a"
"647","mt-Ta"
"648","Ttc21a"
"649","mt-Tw"
"650","Mum1l1"
"651","Gm16178"
"652","C530005A16Rik"
"653","Fam71e1"
"654","Tslp"
"655","Hdgfrp3"
"656","Kcnu1"
"657","Arhgap27os1"
"658","Fam19a1"
"659","A230087F16Rik"
"660","Amd2"
"661","Dlx3"
"662","Cystm1"
"663","H2-Ab1"
"664","Adora1"
"665","Gm11613"
"666","Dock3"
"667","Shisa2"
"668","Kcnb1"
"669","Syngr3"
"670","Ccdc39"
"671","Dynlt1b"
"672","Alox5"
"673","Msln"
"674","Kctd19"
"675","Tns4"
"676","Asb5"
"677","Lyrm7"
"678","Cdkn2b"
"679","Syt4"
"680","Paqr6"
"681","Lrrc39"
"682","Cyp1b1"
"683","Slc1a3"
"684","Npbwr1"
"685","Ccdc37"
"686","Upp2"
"687","Snai3"
"688","Anxa10"
"689","Ccdc87"
"690","mt-Tq"
