"","x"
"1330","Gja8"
"1331","Camk2n1"
"1332","Gm15234"
"1333","4933402E13Rik"
"1334","Tpt1-ps5"
"1335","Stpg1"
"1336","Gm8522"
"1337","Gm15564"
"1338","1700008O03Rik"
"1339","Sema3d"
"1340","Vmn1r4"
"1341","Gm5460"
"1342","Rps15a-ps3"
"1343","Ccdc153"
"1344","B4galnt2"
"1345","Rab44"
"1346","Spa17"
"1347","Gm10863"
"1348","Tmod1"
"1349","Erg"
"1350","Srpk3"
"1351","Galnt14"
"1352","Rho"
"1353","Fgf2os"
"1354","Fam155a"
"1355","Gm5148"
"1356","Gm16098"
"1357","Gm16316"
"1358","F11"
"1359","Kank4os"
"1360","Gm8428"
"1361","Kbtbd8"
"1362","Pthlh"
"1363","Chchd10"
"1364","Lypd6b"
"1365","Fxyd6"
"1366","Ptprn2"
"1367","Gm11592"
"1368","Gm26885"
"1369","Pgf"
"1370","Pxdc1"
"1371","Tulp2"
"1372","Dpp6"
"1373","Dynlt1-ps1"
"1374","D630029K05Rik"
"1375","Gm26671"
"1376","Wnt5b"
"1377","Gm15441"
"1378","BC016548"
"1379","Gm4987"
"1380","Padi1"
"1381","Trpc6"
"1382","Csrnp3"
"1383","Fgf18"
"1384","Pllp"
"1385","Ccno"
"1386","Gm4755"
"1387","E030013I19Rik"
"1388","2410152P15Rik"
"1389","Pcdh11x"
"1390","Nlrp4f"
"1391","Hmgb1-ps3"
"1392","Dbpht2"
"1393","Gm14863"
"1394","Gm5087"
"1395","Mc4r"
"1396","Gm14117"
"1397","Gm12610"
"1398","ENSMUSG00000082803"
"1399","Pacsin1"
"1400","Serinc2"
"1401","Dnali1"
"1402","Il1b"
"1403","Gm16223"
"1404","Gm14017"
"1405","Gm15789"
"1406","Sv2b"
"1407","Gm17276"
"1408","Hsd17b1"
"1409","Rab37"
"1410","Asprv1"
"1411","Mesp2"
"1412","Trpv6"
"1413","Ttll9"
"1414","Gm12586"
"1415","Ascl4"
"1416","2010110E17Rik"
"1417","Gpr126"
"1418","Ak9"
"1419","Gria2"
"1420","Selenbp2"
"1421","Gm5544"
"1422","Gdf7"
"1423","Fzd9"
"1424","Gm15932"
"1425","Sp7"
"1426","Papln"
"1427","Camk4"
"1428","Fam19a3"
"1429","Serpinc1"
"1430","Amd-ps3"
"1431","Fsip1"
"1432","Pcsk2os1"
"1433","Olfr1311"
"1434","Grhl3"
"1435","Erich2"
"1436","9130024F11Rik"
"1437","Lhx4"
"1438","Tyr"
"1439","Gm12295"
"1440","Abca13"
"1441","Cntn3"
"1442","A930017M01Rik"
"1443","Tgtp2"
"1444","Rpl32-ps"
"1445","Ddn"
"1446","B130011K05Rik"
"1447","Cdhr4"
"1448","Slc13a5"
"1449","Lrrtm3"
"1450","Pax1"
"1451","4930578M01Rik"
"1452","Gm14124"
"1453","4930505A04Rik"
"1454","Slc14a2"
"1455","Gm13857"
"1456","Gm7278"
"1457","Scn3b"
"1458","Zfp133-ps"
"1459","Slc22a30"
"1460","Tacr3"
"1461","Gm22933"
"1462","Gm17333"
"1463","Plac1"
"1464","Ppp1r42"
"1465","Tyrp1"
"1466","Lgi1"
"1467","Myl1"
"1468","Sox2ot"
"1469","Gdpd2"
"1470","Btn2a2"
"1471","Cfap57"
"1472","Lrtm1"
"1473","Gm14429"
"1474","Wnt8b"
"1475","Gm14659"
"1476","Gpr3"
"1477","Adamts20"
"1478","Gm17315"
"1479","Gm10074"
"1480","Ttll6"
"1481","ENSMUSG00000082050"
"1482","1700101E01Rik"
"1483","Cd164l2"
"1484","Hnf1aos1"
"1485","Gm5415"
"1486","Ralyl"
"1487","Icos"
"1488","Tmem184a"
"1489","Acsl4"
"1490","Dscaml1"
"1491","Gm16537"
"1492","Olfr49"
"1493","Pnoc"
"1494","5830473C10Rik"
"1495","A230107N01Rik"
"1496","Gm26603"
"1497","Fam159b"
"1498","Gm22195"
"1499","Hist1h1c"
"1500","1700016H13Rik"
"1501","Gm10110"
"1502","Gm27786"
"1503","Fam222a"
"1504","Ces1a"
"1505","Gm20658"
"1506","Gjb2"
"1507","Gm26835"
"1508","4933416M07Rik"
"1509","Gal"
"1510","1500015L24Rik"
"1511","Rpl12-ps1"
"1512","A530083I20Rik"
"1513","Kcng2"
"1514","5330439K02Rik"
"1515","Cd55"
"1516","Gm13408"
"1517","Duox2"
"1518","Slc17a2"
"1519","Scin"
"1520","Plin5"
"1521","Atp13a5"
"1522","Rps27"
"1523","Stxbp3b"
"1524","Shisa7"
"1525","Gm12013"
"1526","Dnah5"
"1527","Gm26805"
"1528","Erich2os"
"1529","Phyhip"
"1530","Fsbp"
"1531","Otop1"
"1532","Gm13339"
"1533","Mall"
"1534","C4b"
"1535","C130073F10Rik"
"1536","Mylk3"
"1537","Cfap61"
"1538","C4bp"
"1539","Ptgdr2"
"1540","Gm13433"
"1541","Crct1"
"1542","Gm27030"
"1543","Lrrc2"
"1544","Ttc39d"
"1545","Pip5k1b"
"1546","Gm12583"
