"","x"
"320","Kcnd1"
"321","Tead2"
"322","Gm10521"
"323","Plac8"
"324","Adap2"
"325","Lrmp"
"326","Hoxc6"
"327","Uba7"
"328","Cenpa"
"329","Atp6v0d2"
"330","Birc5"
"331","Rgs1"
"332","Kif20b"
"333","Galnt12"
"334","Cd300lh"
"335","Pde10a"
"336","Cdc20"
"337","Lmo2"
"338","Sp3"
"339","AB124611"
"340","Pif1"
"341","Fignl2"
"342","Vsig10l"
"343","Trip13"
"344","Creg2"
"345","Ccm2"
"346","Hoxc5"
"347","Mcm6"
"348","Tnfrsf11a"
"349","Nxpe5"
"350","B3gnt3"
"351","Tnxb"
"352","Knstrn"
"353","Tfpi2"
"354","Gm3512"
"355","Incenp"
"356","Chaf1b"
"357","Kif22"
"358","Ltbp4"
"359","Snx20"
"360","Trf"
"361","Tacc1"
"362","Sp110"
"363","Il21r"
"364","Arl4c"
"365","Arhgap9"
"366","Sel1l3"
"367","Prc1"
"368","Ccnf"
"369","Nptx1"
"370","Ndc80"
"371","Gm13212"
"372","Fcgr4"
"373","6-Sep"
"374","Arhgef39"
"375","Slc43a3"
"376","Gm26809"
"377","Mmd"
"378","Pgap1"
"379","Igsf9"
"380","Slamf9"
"381","Cmtm3"
"382","Cep55"
"383","Cdk18"
"384","Csf2rb"
"385","Ctsc"
"386","Enpp3"
"387","Fcgr3"
"388","Emx2"
"389","Ncapd2"
"390","Nuf2"
"391","Hgf"
"392","Dnmt1"
"393","Fcna"
"394","Ednra"
"395","Lst1"
"396","Plk1"
"397","Unc93b1"
"398","Gcnt2"
"399","Melk"
"400","Pmf1"
"401","Cryl1"
"402","AI662270"
"403","Rasal3"
"404","Dusp9"
"405","Lfng"
"406","Ncapg2"
"407","D17H6S56E-5"
"408","Fanca"
"409","Bub1b"
"410","A630001G21Rik"
"411","Pyhin1"
"412","Espl1"
"413","Pilra"
"414","Prkch"
"415","St18"
"416","Dlgap5"
"417","Pcyt1b"
"418","Neurl3"
"419","Spag5"
"420","Sgol1"
"421","Ncapg"
"422","Rnf144a"
"423","Lhx6"
"424","Rcsd1"
"425","Psd4"
"426","Zdhhc2"
"427","Nlrc4"
"428","Bok"
"429","Mxd3"
"430","Hvcn1"
"431","Milr1"
"432","Sim1"
"433","Slco4a1"
"434","Ly75"
"435","Ulbp1"
"436","Lig1"
"437","Hoxa5"
"438","BC055324"
"439","Cit"
"440","Cdca8"
"441","Chd3"
"442","Cd53"
"443","Steap3"
"444","Arap1"
"445","Esyt1"
"446","Myo1b"
"447","AU020206"
"448","Cygb"
"449","Dhfr"
"450","Bmp1"
"451","Anxa4"
"452","Ercc6l"
"453","Tubb6"
"454","Traf3ip3"
"455","Zc3h12d"
"456","Hoxa6"
"457","Kcnj15"
"458","Ly86"
"459","Coro1c"
"460","Acy1"
"461","Meis1"
"462","Clca1"
"463","Aurka"
"464","Shcbp1"
"465","Naalad2"
"466","Foxd1"
"467","Mcm5"
"468","Npy"
"469","Aoah"
"470","Spdl1"
"471","Parpbp"
"472","Manba"
"473","B4galt5"
"474","Cdc25b"
"475","Ubash3b"
"476","Slc27a6"
"477","Plekho1"
"478","Csrp2"
"479","Arhgap18"
"480","Srpx"
"481","AI467606"
"482","Slc16a11"
"483","Trim25"
"484","Cdh24"
"485","Il1rl2"
"486","Arrb2"
"487","Oas1a"
"488","Shisa9"
"489","Pfkfb3"
"490","P2rx7"
"491","Mycl"
"492","Mamdc2"
"493","Susd3"
"494","Gm8206"
"495","Cnrip1"
"496","Pyroxd2"
"497","Hoxa4"
"498","5730596B20Rik"
"499","A530020G20Rik"
"500","Nusap1"
"501","Ifi204"
"502","BC028528"
"503","Pkp2"
"504","Lpar2"
"505","Cdk1"
"506","Aldh3b1"
"507","Vav2"
"508","Troap"
"509","Fam64a"
"510","Nup210l"
"511","Tgm2"
"512","Prtg"
"513","Dpep2"
"514","Uhrf1"
"515","Mfsd7a"
"516","1700025G04Rik"
"517","Kcnab1"
"518","Fgd2"
"519","Stx1a"
"520","ENSMUSG00000099297"
"521","Il18rap"
"522","Smagp"
"523","Eme1"
"524","Map1b"
"525","Gm16529"
"526","Ska3"
"527","Tnf"
"528","Cd22"
"529","Dtx4"
"530","Spc24"
"531","Csf3r"
"532","Piezo2"
"533","A530064D06Rik"
"534","Drp2"
"535","F3"
"536","Hoxb7"
"537","Prkar2b"
"538","Skp2"
"539","Kcnk13"
"540","Fbln2"
"541","Gas7"
"542","D330045A20Rik"
"543","Tpm4"
"544","Gpr155"
"545","Adamts6"
"546","Ripk3"
"547","Chaf1a"
"548","Ankrd33b"
"549","Kcnj2"
"550","Racgap1"
"551","Ccnb2"
"552","Ccbe1"
"553","Stra6l"
"554","Kcnip3"
"555","Ebi3"
"556","2900089D17Rik"
"557","Pole"
"558","Gpr161"
"559","Pde3b"
"560","Sh3pxd2b"
"561","5430427O19Rik"
"562","Cntfr"
"563","Ticam2"
"564","Kif2c"
"565","Mcm10"
"566","Psmb8"
"567","Top2a"
"568","Abcg3"
"569","Tbc1d2b"
"570","Pbk"
"571","Stac2"
"572","Bend4"
"573","Soat1"
"574","Cdca3"
"575","Matn2"
"576","Hoxaas2"
"577","Irf7"
"578","S1pr1"
"579","Gbp8"
"580","Fignl1"
"581","D8Ertd82e"
"582","Prr11"
"583","Cdca7l"
"584","Cenph"
"585","Ect2"
"586","Abi3"
"587","Hmmr"
"588","Mgam"
"589","Hoxb4"
"590","Trim30a"
"591","Tifab"
"592","Dtl"
"593","Ccdc120"
"594","Emcn"
"595","Golm1"
"596","Bcl2a1d"
"597","Pou2f2"
"598","Sytl5"
"599","Kif23"
"600","Prcp"
"601","Nme2"
"602","Apbb1ip"
"603","Cdc25c"
"604","Hoxb6"
"605","Aldh1a3"
"606","Tacc3"
"607","Rinl"
"608","Rps6ka2"
"609","Glipr2"
"610","Kif11"
"611","Pld2"
"612","Dlk1"
"613","Gm14002"
"614","Aurkb"
"615","Cyp2d22"
"616","Pole2"
"617","2810417H13Rik"
"618","Kif14"
"619","Bdh1"
"620","Ube2t"
"621","Tpx2"
"622","Ptgir"
"623","Pik3r6"
"624","Sh3tc1"
"625","Gm2897"
"626","Gm15832"
"627","Evi2"
"628","Stmn1"
"629","Ms4a6b"
"630","Trim14"
"631","Mmp14"
"632","Nnmt"
"633","Lasp1"
"634","Mrps6"
"635","Pnma2"
"636","Slc24a5"
"637","5830432E09Rik"
"638","Mid1-ps1"
"639","Lpar5"
"640","Frmd4a"
"641","Cndp2"
"642","Ezh2"
"643","Tgfbr3"
"644","Xdh"
"645","Foxm1"
"646","Igf2bp3"
"647","Mapk11"
"648","Plekhg3"
"649","Sgol2"
"650","Cenpm"
"651","Cldn15"
"652","Tmem121"
"653","Stil"
"654","Cenpf"
"655","Mex3d"
"656","Cx3cr1"
"657","Lrrn4cl"
"658","Nostrin"
"659","Cdkn3"
"660","Ptpn18"
"661","Cdca7"
"662","Tk1"
"663","Plxnc1"
"664","Rad51"
"665","Reps2"
"666","Fbxo5"
"667","Gm5428"
"668","Gm14461"
"669","Akap12"
"670","Timeless"
"671","Fanci"
"672","Xylt1"
"673","Mesdc1"
"674","Mast3"
"675","Man2a1"
"676","Gpr149"
"677","Ckap2l"
"678","Tubb5"
"679","Cd244"
"680","Ccne1"
"681","Ccnb1"
"682","Tlr9"
"683","Grb14"
"684","1700112E06Rik"
"685","Mdk"
"686","Plekhg4"
"687","Rftn1"
"688","Ncaph"
"689","Dok3"
"690","Hoxb8"
"691","Tmem51"
"692","Fbxl8"
"693","Dok2"
"694","Cenpe"
"695","Lockd"
"696","Gm13285"
"697","Glipr1"
"698","E130012A19Rik"
"699","Nlrp3"
"700","Cd33"
"701","Slamf7"
"702","Gm11427"
"703","Cdk2"
"704","Thbs2"
"705","Zan"
"706","Pvrl2"
"707","Plppr3"
"708","Wt1"
"709","Aif1"
"710","2810408I11Rik"
"711","Tnfaip6"
"712","Depdc1a"
"713","Aoc3"
"714","Eldr"
"715","Cd14"
"716","Chtf18"
"717","Bard1"
"718","Adamts14"
"719","Cd86"
"720","Olfml3"
"721","Gjc2"
"722","BC030867"
"723","Hoxb3os"
"724","Tcf19"
"725","Tlr1"
"726","Bcl2l11"
"727","C2cd4c"
"728","Snai1"
"729","Adam5"
"730","5430435G22Rik"
"731","Ap1g2"
"732","Nfatc2"
"733","Zfyve28"
"734","Aldh1l1"
"735","Ticrr"
"736","Syt1"
"737","Nell1"
"738","Dact2"
"739","Exo1"
"740","Parvg"
"741","Sh2d1b1"
"742","Gins1"
"743","Nfkbid"
"744","Asf1b"
"745","Fam111a"
"746","Mtfr2"
"747","Kntc1"
"748","En1"
"749","Slc37a2"
"750","Cdc7"
"751","Adh1"
"752","Clybl"
"753","Nynrin"
"754","Atf7ip2"
"755","Plcb2"
"756","Vcan"
"757","Pycard"
"758","Efna2"
"759","Ifi27l2a"
"760","2010300F17Rik"
"761","Tert"
"762","Clspn"
"763","Igsf8"
"764","Gm9913"
"765","Mdga1"
"766","9330182L06Rik"
"767","Cenpu"
"768","Cxcl16"
"769","Naip5"
"770","Sp100"
"771","Wdr90"
