"","x"
"1346","Gm26751"
"1347","Adamts12"
"1348","Ccl11"
"1349","Trav14-3"
"1350","Itgb7"
"1351","Tmem130"
"1352","Rbm46"
"1353","Mlf1"
"1354","ENSMUSG00000083797"
"1355","Gm20667"
"1356","St6galnac2"
"1357","Fbn1"
"1358","Htra4"
"1359","Mst1r"
"1360","AI606473"
"1361","Gm14091"
"1362","4933413J09Rik"
"1363","Tgfb1i1"
"1364","Gm16265"
"1365","Trem1"
"1366","Rxfp3"
"1367","Npas4"
"1368","Epb4.1l2"
"1369","Plet1"
"1370","D6Ertd527e"
"1371","H2-Q10"
"1372","Gm26680"
"1373","Akap3"
"1374","A430108G06Rik"
"1375","Mir7091"
"1376","Gm7808"
"1377","Piwil4"
"1378","Ifitm1"
"1379","Epha4"
"1380","Treml4"
"1381","Apba1"
"1382","Gm12415"
"1383","Gm10658"
"1384","Gm14742"
"1385","Fgl2"
"1386","Gm15774"
"1387","Tnmd"
"1388","Ccl2"
"1389","5830444B04Rik"
"1390","Dll1"
"1391","Gm3636"
"1392","Gm21887"
"1393","Tlr5"
"1394","Lyzl4"
"1395","4833417C18Rik"
"1396","Dmrta2"
"1397","Sprr2a2"
"1398","Fam46b"
"1399","Vipr1"
"1400","ENSMUSG00000081401"
"1401","Pde11a"
"1402","C1qtnf3"
"1403","Egflam"
"1404","Gm12286"
"1405","1700009N14Rik"
"1406","Creg1"
"1407","C530008M17Rik"
"1408","Gm12715"
"1409","Pcsk5"
"1410","Dpcr1"
"1411","Tnfrsf14"
"1412","Vmo1"
"1413","Slc28a2"
"1414","Gm15487"
"1415","Gm16206"
"1416","Gm24455"
"1417","Ccdc88c"
"1418","Abca12"
"1419","Acat3"
"1420","Rad51b"
"1421","2310043M15Rik"
"1422","D930019O06Rik"
"1423","Tinag"
"1424","C430049B03Rik"
"1425","Gm26542"
"1426","Gm15590"
"1427","Miat"
"1428","Acot1"
"1429","Rtn1"
"1430","Gm12394"
"1431","Lyve1"
"1432","Ccr3"
"1433","Zdhhc14"
"1434","Adamts16"
"1435","Adam18"
"1436","Ppbp"
"1437","Serpinb6b"
"1438","Prg4"
"1439","Ndufa4l2"
"1440","1700020A23Rik"
"1441","A830039N20Rik"
"1442","Yipf7"
"1443","A330040F15Rik"
"1444","Arl14epl"
"1445","Gm9992"
"1446","Gm12902"
"1447","Lgals3"
"1448","Clec2l"
"1449","Gm10451"
"1450","Abca9"
"1451","1520401A03Rik"
"1452","Gm20507"
"1453","Hsd11b1"
"1454","Adcyap1r1"
"1455","Gm8349"
"1456","Dnah6"
"1457","Gif"
"1458","4933431K23Rik"
"1459","Msra"
"1460","G430049J08Rik"
"1461","Gm5388"
"1462","Psg19"
"1463","Cd300lf"
"1464","Gm14633"
"1465","Ccl7"
"1466","Prl2c3"
"1467","Gm10369"
"1468","Gm22249"
"1469","Tpm2"
"1470","Peak1os"
"1471","A930002H24Rik"
"1472","Tmem191c"
"1473","Gsg1l"
"1474","Mchr1"
"1475","Dynap"
"1476","Gpr84"
"1477","ENSMUSG00000093972"
"1478","AI427809"
"1479","Tspan18"
"1480","Fam150a"
"1481","Prss46"
"1482","Gm27651"
"1483","Gm13583"
"1484","Fgl1"
"1485","Unc93a"
"1486","Tox3"
"1487","Gm5859"
"1488","Gbx1"
"1489","Tcf24"
"1490","Gm20539"
"1491","Slit3"
"1492","Gm10654"
"1493","Rpl31-ps16"
"1494","Gm17022"
"1495","Gm11627"
"1496","Areg"
"1497","Adam33"
"1498","Crabp1"
"1499","H2-Q5"
"1500","Ngf"
"1501","Amph"
"1502","Spon2"
"1503","Slc9a9"
"1504","Pianp"
"1505","Hist1h3g"
"1506","Gm15964"
"1507","AI607873"
"1508","Gm17541"
"1509","B3galt5"
"1510","Gm5430"
"1511","Trerf1"
"1512","Prl2c2"
"1513","Gm11800"
"1514","St8sia2"
"1515","Fbln5"
"1516","Scrt1"
"1517","Tmem252"
"1518","Gm27754"
"1519","A230028O05Rik"
"1520","Gm5380"
"1521","Gm26582"
"1522","Cxcr4"
"1523","Gm12355"
"1524","Gm4217"
"1525","Gm15738"
"1526","Prss27"
"1527","Gm14680"
"1528","Fam83d"
"1529","Rab33a"
"1530","Gm13091"
"1531","Bach2os"
"1532","CAAA01205117.1"
"1533","Mast1"
"1534","Gm11218"
