gene,log2FC,pvalue,adjusted_pvalue
Rasgef1a,1.98853331866158,2.11049975348853e-17,4.2764001255061306e-15
AW112010,7.35746738758133,2.2004658733210802e-17,4.4085962906953e-15
Il15,1.94348666025319,2.35296035152627e-17,4.661737336451661e-15
Lbp,3.0463820825249,4.88900791270035e-17,9.579769240808791e-15
Trp53,0.618151444399737,6.69129964495215e-17,1.29687569531676e-14
Camkk2,1.40358911288416,6.80900406831283e-17,1.30549840367835e-14
Znfx1,0.691367890838968,8.94689955450726e-17,1.69715070166403e-14
Ier3,1.82531364375321,1.00027171957608e-16,1.8774573717643302e-14
Iigp1,2.74267783768271,1.37914250086063e-16,2.56161353467144e-14
Csf1,2.39679737486964,1.54277351602656e-16,2.8359994396154303e-14
Usp53,0.768196776550042,1.77315461322489e-16,3.22623672534827e-14
Zeb1,0.81114657249265,1.98652901256285e-16,3.5779594770715303e-14
Hivep2,1.000401222828,4.31584720287001e-16,7.69558714743751e-14
Map3k8,2.01908430059744,9.74338424103545e-16,1.7201414297218099e-13
Herc6,1.58920871401733,1.1187416219432401e-15,1.95571390792842e-13
Adamts4,1.56520036266558,1.4697232767448301e-15,2.5198688218881797e-13
Rrad,1.66096633399018,1.4632760717134e-15,2.5198688218881797e-13
Smox,0.941909386282859,2.8582819715344303e-15,4.8539072223267e-13
Rnf122,0.883938312197175,3.1379303334616e-15,5.27853167697676e-13
Slco5a1,2.5507499318491,3.91964881053063e-15,6.53189326547399e-13
Tgif1,0.654830544867501,7.22656876302381e-15,1.19311988530998e-12
Zmynd15,2.1260298391077,7.72591824663291e-15,1.26386099317166e-12
Fas,1.44786758588791,1.13525440610625e-14,1.84024739229823e-12
Hivep1,1.21669959834976,1.3831563781207601e-14,2.22189742146588e-12
Nfkbid,2.54726435629687,1.52473305785141e-14,2.4274567102275397e-12
Plscr1,1.57815640713401,2.2351685452053602e-14,3.52701684332361e-12
Slco4a1,2.11631568182786,2.84530362611615e-14,4.45040429449799e-12
Slc2a6,2.37428549325665,2.91415405447898e-14,4.5184592126447595e-12
Cyp7b1,2.36475825170598,8.7219403123486e-14,1.3406975664611e-11
Cish,1.77102639254725,1.0212547895027e-13,1.54321984335785e-11
H2-Q5,3.5118943008424,1.01481782724873e-13,1.54321984335785e-11
Gbp4,5.21710427276502,1.28162908610046e-13,1.9203973306098598e-11
Nod2,2.02744901313623,1.53372695539828e-13,2.27899044514223e-11
Mnda,1.1905693281036,1.69478950922762e-13,2.4975034495072498e-11
Gm12505,1.70543544927832,1.9214958234705998e-13,2.8083763957626497e-11
Uba7,1.23891961287251,2.10804383680426e-13,3.0559780206550196e-11
Cd69,4.80948937412663,2.56453723154589e-13,3.68776317545925e-11
Nup188,0.503289121781172,3.2031184891000005e-13,4.555167531758949e-11
Spata13,2.05750072789212,3.21883859010503e-13,4.555167531758949e-11
H2-Q6,2.31936595409224,3.58082525862269e-13,5.02753505405521e-11
Sema4b,1.14240615024399,3.6365555812777597e-13,5.0658923882627894e-11
Dtx4,1.26980138840979,4.28788766284897e-13,5.926924412113169e-11
Stap2,1.57894677569415,4.55103593671666e-13,6.242270906738059e-11
Tapbpl,1.15534786979557,6.11131230211474e-13,8.31838241671817e-11
Psd,1.65708913340106,7.420837277940001e-13,1.00243143562839e-10
Ubd,6.96328958874753,8.99235761783195e-13,1.20558442619219e-10
Traf3,0.826893437658974,1.07822678125157e-12,1.4347658012311e-10
Spire1,0.543858412355563,1.10201845070956e-12,1.45556229589645e-10
Vezf1,0.358558719300277,1.73953675028013e-12,2.28071174957684e-10
Nipal1,1.07234259702803,1.83893520965664e-12,2.39343457834945e-10
Tmem132e,2.91336216495909,2.18155028664959e-12,2.81878428704701e-10
Tapbp,1.26362790792973,2.30645846790262e-12,2.9587381972065903e-10
Psme1,0.597144880692285,2.50824623649733e-12,3.19460990307027e-10
Gch1,1.63110016032215,3.0398466319115798e-12,3.84422023358974e-10
E230013L22Rik,1.93801120926951,3.84514227973844e-12,4.82836140774761e-10
H2-Q7,2.15534379812896,4.13224613095109e-12,5.15259306020901e-10
Dram1,1.62124795044804,6.14619739881071e-12,7.610614292930121e-10
Mtmr14,1.19642904764566,6.24866979820079e-12,7.68414008080816e-10
Rab11fip1,0.897813438272512,1.0230686903867099e-11,1.24947519303324e-09
Tgtp1,3.69584051161783,1.06443092801512e-11,1.2911474746556202e-09
Tnfrsf1b,1.35575314365606,1.35084344997492e-11,1.62749253760154e-09
Trim47,0.987500844863245,1.4546360129573298e-11,1.7407795132243e-09
Chil1,3.5253356036028,1.71835377556903e-11,2.0426644114780903e-09
Orai2,0.937832951256106,2.0881328285276697e-11,2.4549472578615304e-09
S1pr2,0.840062111516072,2.0927148404181e-11,2.4549472578615304e-09
Arhgef3,1.12947671814818,2.42561237788899e-11,2.8268689091593803e-09
Slc25a37,0.876806935265216,2.6409661089964497e-11,3.05786147334518e-09
Ralb,0.826755522062659,3.0705257123369496e-11,3.5322931597858103e-09
Plekha5,-0.529515236636767,3.1436639857813096e-11,3.59324823913247e-09
Fgf7,1.24104986002853,5.356472701714209e-11,6.08352004740548e-09
Cebpd,2.83353911867985,5.48245618595507e-11,6.1871946994787905e-09
Gm11131,1.60961242657251,9.359063335484859e-11,1.04383041974348e-08
Slc31a2,0.664827227363443,9.3664330188412e-11,1.04383041974348e-08
St3gal1,0.846536193104805,1.24093504651758e-10,1.37435483319596e-08
Il13ra1,2.27550677145768,1.41713419951841e-10,1.5598098710872e-08
Icam1,2.59352816223691,1.43955134392994e-10,1.57476319101931e-08
Parp3,0.625057955538326,1.8928026092007402e-10,2.05796117833283e-08
Mettl7a1,-0.696346755966218,2.41681303253656e-10,2.61176928382785e-08
Tgtp2,4.04114548039835,3.62867433561882e-10,3.8977645830373e-08
Rhof,0.939205754914888,3.9695102539985004e-10,4.23834355323637e-08
Gsap,1.87554856837205,4.08175440857603e-10,4.33224778924519e-08
Lilrb4,2.37550993805064,4.52831985109803e-10,4.7777793647887e-08
F830016B08Rik,2.08962743775409,5.91029099457501e-10,6.19919992495688e-08
Klhl25,0.741770792166072,6.29547708818152e-10,6.56459952978741e-08
Pik3r1,0.655572534997236,6.36128478212675e-10,6.59465517151756e-08
Etv3,0.662786178428386,6.68104037405812e-10,6.88610583293817e-08
Ell2,0.608344491009297,6.83597127531353e-10,7.00529906954687e-08
Rbm47,1.73677133006626,6.95319651904139e-10,7.08471126463012e-08
