gene,log2FC,pvalue,adjusted_pvalue
Traf1,7.22059939934462,7.96408578631997e-21,1.3374234062526898e-18
Gpr84,5.32822452042959,8.392760382608381e-21,1.39357542622682e-18
Irf7,4.85096029951313,8.60823082705224e-21,1.4134715018019799e-18
Ccl4,6.12662387496243,1.05597486858087e-20,1.7148567700975899e-18
Exoc3l4,2.2527277584723,1.2375837060534301e-20,1.98793608783234e-18
Herc6,4.46557514934241,1.89666802717021e-20,3.01386667801306e-18
Csf3,6.91124083842601,2.0793819788451802e-20,3.2690539237632e-18
Slfn8,5.81305308474839,3.58046704124078e-20,5.56969915110065e-18
Gm4841,7.62032077013353,5.70493587884243e-20,8.782035668493069e-18
Tnfaip2,2.97543605186877,6.2881783760978e-20,9.5800721692756e-18
Ddx60,5.47370218328977,7.21083273206772e-20,1.08736414402548e-17
Gadd45b,2.29644128791088,1.1580052797252202e-19,1.72858606300801e-17
Tmem2,1.38107106999403,1.8038475820267902e-19,2.6657259567191802e-17
Dtx3l,4.08760115592308,1.8713002773550502e-19,2.73802727710425e-17
Sdc4,2.27610329653827,7.005980303270371e-19,1.01504291099735e-16
I830012O16Rik,6.06696759869955,7.32887256379979e-19,1.05151532764887e-16
Tgtp1,4.7191498517317,7.61416333624523e-19,1.08194332483685e-16
Trim30d,4.85640240042706,8.96626947925664e-19,1.26193838442338e-16
Nod2,5.23805886177734,1.7918205873827002e-18,2.4980683622963697e-16
Parp9,3.66968122937624,2.09182842670661e-18,2.88906920466077e-16
Arid5a,2.78125399813626,2.1744203280542497e-18,2.9753318155542298e-16
Fam26f,6.76257148720155,2.2450202764466498e-18,3.04375317847052e-16
Cd40,6.0050193538519,2.32222838419898e-18,3.11980827833568e-16
Stk40,1.68696536019188,2.86710570404063e-18,3.81712505354166e-16
Rnd1,2.94947502333273,3.9903909755552294e-18,5.26517837828171e-16
Tgtp2,7.27224685364906,4.8895771977468795e-18,6.39452848038083e-16
Psmd10,1.10211439210334,6.3681008066927e-18,8.255069624675849e-16
Egln3,1.6847306608289,7.91309452830211e-18,1.01686705164564e-15
Trex1,3.45736243903348,8.71996211621997e-18,1.1108931047715402e-15
Cxcl16,2.93435828320924,1.1553932338125801e-17,1.45935053070789e-15
Bid,1.71733138655717,1.3472504047783101e-17,1.6872598713401502e-15
Ifi35,2.94558678166194,1.62359648221775e-17,2.0162612448919303e-15
Il23a,7.29608067278227,1.9125379313524802e-17,2.3552904624605802e-15
Mlkl,2.66281775387922,3.46192095798488e-17,4.2281213154628605e-15
Zfp598,0.697430327127003,3.72982906433519e-17,4.51798474694635e-15
Tnn,7.27663638073058,4.08023683282574e-17,4.90225527768283e-15
Serpina3g,6.05886303979744,4.11621300505219e-17,4.905596434569461e-15
Usp18,5.15892649134323,4.49132360558069e-17,5.30982241946172e-15
Phf11d,5.28986869774641,4.84542497643441e-17,5.6829912937895105e-15
Cd274,5.05923343259085,6.075072564391841e-17,7.06908837453406e-15
Oas1b,4.91153234696631,6.5118911613612e-17,7.5181818423903e-15
Il1rn,4.98212715321838,7.41736530952624e-17,8.49719570109912e-15
Map3k8,3.10629005873578,8.80462011707039e-17,1.00088212376974e-14
Angptl4,2.33553160905161,9.89534668140922e-17,1.11223373313982e-14
Daxx,3.23680123620743,9.934690267590751e-17,1.11223373313982e-14
Ccl8,4.01870529547551,1.03977634860526e-16,1.15532442704425e-14
Rhbdf2,1.98823121310956,2.1609122363739898e-16,2.38313142008469e-14
Sele,6.49164994397452,2.3669022519613e-16,2.5909689984803102e-14
Pyhin1,6.34863964526683,2.61920014373522e-16,2.8460690973617e-14
Socs3,4.17908390204611,3.14935426747732e-16,3.38983917960588e-14
Plk2,2.23545390287906,3.16550146694824e-16,3.38983917960588e-14
Il15,4.74504893584197,3.42824970417084e-16,3.64479669987314e-14
Ifi203,6.01177686898487,3.47193522341736e-16,3.66487562369012e-14
Xaf1,3.97371271766631,4.45186811625155e-16,4.6659366682245e-14
Tnip3,4.44279497802744,4.653015307610601e-16,4.84241269125841e-14
Casp4,4.3683166415518,4.79127403333558e-16,4.9514299066177104e-14
Zfp36,2.39871373646367,4.89401375232775e-16,5.02248161332636e-14
Hivep2,1.91761852969907,5.677966903732301e-16,5.78682723471421e-14
H2-Q4,3.67043356742947,6.62894222768101e-16,6.70976083840205e-14
Eepd1,-3.74855678084514,6.73966693785787e-16,6.77542843589548e-14
Gabpb1,0.85197543307486,8.03809481991335e-16,8.02614630058645e-14
Slfn5,5.72938240859108,9.81005257787032e-16,9.72972865743406e-14
Lfng,-2.75620316483851,1.28390173184983e-15,1.26489998621845e-13
Nmi,3.23472087110928,1.92835182670637e-15,1.8872306817924998e-13
Adora2a,6.02658615671625,2.32844119626895e-15,2.2637963156883199e-13
Il1b,8.5727995936145,2.3691275441045604e-15,2.28829848671746e-13
Stat2,3.30524897921327,2.4049924095324603e-15,2.30785570312147e-13
Psmb10,2.40411479750967,2.9980983335476604e-15,2.85844497891402e-13
Gem,3.39669588103486,3.1095487416574504e-15,2.9456994425778e-13
Fpr1,5.33993763836025,3.43622976132268e-15,3.23443333839659e-13
Cdk6,1.10248015901828,4.051610467118261e-15,3.78953794196669e-13
Pim1,3.00683477062679,4.11666273973019e-15,3.82616616149262e-13
Trim21,3.66143219952683,5.051162058707041e-15,4.66537955647329e-13
B4galt5,1.39449744564163,5.17759676282197e-15,4.75245496652069e-13
Ch25h,4.70418906523978,6.716566696214031e-15,6.12700139732413e-13
Gbp11,7.4350559909938,6.8149481411229305e-15,6.178607584632799e-13
Mapkapk2,1.79522116377017,1.04635413056158e-14,9.42867154965798e-13
H2-K2,3.50790100150092,1.44966429157109e-14,1.29837205459622e-12
Dhx58,3.97410434780963,1.47022848558836e-14,1.3088576240978699e-12
Hcar2,5.43173957637987,1.48596934157639e-14,1.3149493969949599e-12
Tap1,3.23498385190832,1.58465673161923e-14,1.3939319749922e-12
Tapbp,1.83311284096283,1.787348096158e-14,1.56292486183567e-12
Gm4951,7.17153694356123,2.16055842859872e-14,1.87816073281364e-12
Tor3a,2.8146557687099,2.38984867920523e-14,2.0653323848710498e-12
Paqr7,-1.63344659933335,2.7983737576924803e-14,2.40432368553369e-12
Btg1,1.36604838973335,4.0825759435198804e-14,3.4874166065512597e-12
Parp12,2.92507390312342,4.30373133531041e-14,3.65520354443777e-12
Cdk20,-1.22176961768878,5.91961270626466e-14,4.9988592327530996e-12
Peli1,3.08926838948412,6.85986888116024e-14,5.75995126851057e-12
Gpr157,-3.11131462621148,7.277794675891481e-14,6.076341792108719e-12
Chic2,0.921612548922315,9.14902705436482e-14,7.59574841625861e-12
Samd9l,3.67296110848071,1.05911344543535e-13,8.743898601476899e-12
Malt1,3.39092027880377,1.08404535891077e-13,8.90001239665742e-12
Hivep3,3.64216587327733,1.21778274268392e-13,9.94275876871986e-12
Klhl25,1.52317719906478,1.4174395320288599e-13,1.1509297474902399e-11
Ifi204,5.05587009027985,1.66498768832266e-13,1.3445457955208898e-11
Zc3h12c,2.83177106069747,1.90877981202202e-13,1.5330406555468098e-11
Pou3f1,5.52012809202088,1.9727137516071499e-13,1.57582507141894e-11
Trim30a,4.58515372193647,2.04844451586444e-13,1.6275222072819697e-11
Slfn9,4.4708463206638,2.17889906511645e-13,1.72191285477491e-11
Cnr2,-5.42592203699643,2.3482426460119e-13,1.84586860759382e-11
Gbp10,6.63783808087587,2.36281343591768e-13,1.84749507703659e-11
Phf11b,5.51914045442032,2.46925935617457e-13,1.9205639350288297e-11
Rffl,1.72534668646472,2.81261687222652e-13,2.17617026899285e-11
Icosl,3.79993524484728,3.55463782200953e-13,2.7359602986279597e-11
Map4k4,0.716949451863227,4.31272345582228e-13,3.3022501155513796e-11
Ablim2,3.15440618056138,5.08124639067595e-13,3.8706525340932595e-11
F830016B08Rik,7.11976310936165,5.93491802663808e-13,4.4835563704809e-11
Psme2,2.00356830602167,5.94652218577789e-13,4.4835563704809e-11
Arhgap19,-3.41313526511778,6.10901958002659e-13,4.5826949925702e-11
Rrs1,1.31809065528108,6.27055658087131e-13,4.68011541172304e-11
Rnf144b,-2.14724531548031,6.50191956546467e-13,4.82841041901693e-11
Gnl1,0.647751221671,7.948219033809939e-13,5.872939044082159e-11
Oas3,4.58276956046482,8.186889638927299e-13,6.019196770351629e-11
Pnkd,0.810541591230356,8.47534457028488e-13,6.187682189704009e-11
Il15ra,3.77027293221258,8.49979350730758e-13,6.187682189704009e-11
Stx6,1.28704342907211,9.89415456869883e-13,7.16744197138389e-11
Gbp9,4.52037946857418,1.21805878070401e-12,8.78071837133849e-11
Rnf14,0.738052474471873,1.3224056777354499e-12,9.486655876492459e-11
Cish,1.74073662932404,1.47990158058954e-12,1.0565210414469601e-10
Tapbpl,1.89321895516418,1.5011444685179199e-12,1.06653427671913e-10
Cdan1,-0.930804031397666,2.08462733585733e-12,1.47400108944018e-10
Ehd1,1.49511312429593,2.11654746028198e-12,1.48944468419272e-10
AW011738,3.67188767302333,2.33591853057994e-12,1.63602862772087e-10
Ier3,1.90720651856397,2.3575988888956497e-12,1.64342435755189e-10
Iigp1,6.4471452959531,2.42197330626827e-12,1.68037190234895e-10
Olfr56,5.10204714304427,2.43928134057412e-12,1.68447194630861e-10
Mtss1,-1.86251411958641,2.6853938599259698e-12,1.84580234706912e-10
Pnp,2.10259003682483,2.80682727585537e-12,1.92033766123105e-10
Rassf2,-2.61608598794139,3.35135442970602e-12,2.28231869871869e-10
Orai2,1.13281803596875,3.54673971926716e-12,2.40429906290505e-10
Has1,2.53527886451749,3.86259519810055e-12,2.60645807477305e-10
Rab3il1,-3.18754775353364,3.9720608130160795e-12,2.66814157703417e-10
5430435G22Rik,-3.09284818751701,4.09533245998896e-12,2.73849878252113e-10
Gdf15,4.04537246802227,4.45403514547485e-12,2.96494285494718e-10
Adar,2.02132966028653,4.8647812627356295e-12,3.22384473097342e-10
Xcr1,4.69105162608612,5.53051997849814e-12,3.64866179652882e-10
Edn1,3.43695024355085,5.6664805165457995e-12,3.72174440326728e-10
Heatr9,6.00868715239283,5.78712667748502e-12,3.78416628495016e-10
Tnfsf10,7.1855865442882,6.0369329398308196e-12,3.93012312708457e-10
Gpr68,2.42649315704532,6.18226590181334e-12,4.0070844516227004e-10
Zswim4,0.896645678234377,6.6771162252540494e-12,4.30892679374692e-10
Zmynd15,1.93700423297981,6.81712537278497e-12,4.38015125039201e-10
Ogfr,1.69471847803511,7.38498748208245e-12,4.72447380996599e-10
Oas2,5.08265875414323,8.905954654690669e-12,5.67293956409563e-10
8430427H17Rik,-1.62017962883618,9.17235882301939e-12,5.81755874191333e-10
A630072M18Rik,3.39144782739859,9.96658317564255e-12,6.29428060554041e-10
Cd300lb,-4.75074174068587,1.03098198306135e-11,6.48334116837471e-10
Mndal,5.15351655475704,1.0372057277564198e-11,6.494841629145901e-10
Rassf4,4.60346727955498,1.0580801096696699e-11,6.597598253459231e-10
Eif6,0.882076766670303,1.06918764829569e-11,6.63884666660242e-10
Mcc,1.65380802059644,1.0778387283455399e-11,6.664560973845331e-10
Bcl2a1a,5.87615146558613,1.1021482205150499e-11,6.78647766782145e-10
Traf3,0.835412234571136,1.16305664447831e-11,7.13180543240685e-10
Uap1,1.71986472719568,1.2347184836862099e-11,7.53994617847718e-10
Engase,-1.10519153744137,1.2531317983290498e-11,7.620897825393691e-10
Stip1,0.892989041430758,1.3166037288062099e-11,7.97408602635173e-10
Rrad,1.57984135136047,1.5521879629386497e-11,9.362544374003021e-10
Ddx58,2.60099162526183,2.01356755164159e-11,1.2096138730959102e-09
Gm12185,4.36574416859991,2.05732437958218e-11,1.2308963433791701e-09
Arl5c,3.6578905224273,2.2136772917403297e-11,1.3191017345701102e-09
Fpr2,5.94750132810567,2.24372697950907e-11,1.33163844591105e-09
Znfx1,2.43437960916258,2.33400795664798e-11,1.3796787833337501e-09
Abtb2,1.26872744078641,2.4782232614127e-11,1.4590909704046602e-09
Cd44,1.96585908209102,2.5061958292061598e-11,1.46970483984161e-09
Abcd2,-3.16102520957922,2.70906875799891e-11,1.5823959725576202e-09
Rela,1.18895762819139,2.7659721935741297e-11,1.6092731132534802e-09
Isg20,2.80342529127975,3.0651156211136094e-11,1.7763246528947801e-09
Ereg,2.59653454224181,3.11194319153745e-11,1.7894278787758901e-09
Trim12a,2.10085414680705,3.1100646542435195e-11,1.7894278787758901e-09
Clic4,1.88639597730961,3.2677964392827496e-11,1.87176340231475e-09
Adamts4,1.58022985940981,3.29169173813343e-11,1.87817067591258e-09
Nfkbid,2.81434456307024,3.3629737739781395e-11,1.91146255507111e-09
Dnaja2,1.15763347862225,3.3950604628424695e-11,1.9223066482714902e-09
St3gal1,1.59429504854117,3.5131589352040397e-11,1.9815825474979103e-09
Ccl12,5.7729543965565,3.54295399587976e-11,1.99078989167722e-09
Jdp2,1.57846242508629,3.8749875801462696e-11,2.1691123658864202e-09
Myd88,1.9414964666375,4.00191645976162e-11,2.2317102431078203e-09
Zhx2,1.37967583423407,4.6291241609654796e-11,2.5717743176972904e-09
Ttpal,0.43618934905174,4.9050582031760596e-11,2.71486704593767e-09
Psmd7,0.384934410644748,5.4080204493734896e-11,2.9820793358522902e-09
Junb,2.3967784289961,5.4959959472770593e-11,3.0193244650134e-09
Ccrn4l,2.07466541902497,7.168750473805139e-11,3.9236960926626805e-09
Trip10,0.835188546304883,7.283646874488579e-11,3.97187208528385e-09
Slc4a7,1.30002061285124,7.42334315690962e-11,4.03316783723568e-09
Bcl2a1d,4.74205300110913,7.624081810153939e-11,4.12705791173828e-09
Hivep1,1.40665161673626,7.785039810985189e-11,4.19880723820216e-09
Parp8,1.56032612206268,7.85107991689664e-11,4.21902760043267e-09
Hdc,5.19715407170397,8.088733504684409e-11,4.33098926566037e-09
Tap2,1.99563583113985,8.412408624421729e-11,4.47687065257032e-09
Mrgpre,-2.58525325683026,8.42177589264143e-11,4.47687065257032e-09
Nfkbib,2.19526284173098,8.488228537379629e-11,4.49602298657334e-09
Cflar,2.42473061350637,9.232569763571239e-11,4.87281842735914e-09
Sp100,3.20697272948402,9.362027016180959e-11,4.92355997313602e-09
Lhx2,6.21169878166073,1.0117868179055e-10,5.3021934734069e-09
Mtmr14,2.28138535188588,1.04808299755602e-10,5.4729931229267805e-09
Ptpn2,1.3307443428322,1.35764824773017e-10,7.064551339773381e-09
Nfil3,1.36196859998094,1.47018164622351e-10,7.59748773353148e-09
Pxn,0.738108082230038,1.47034882378536e-10,7.59748773353148e-09
Ikbke,2.39292451410211,1.47857182903804e-10,7.613356964991e-09
Setdb2,3.00155910098957,1.56513480703251e-10,8.03109797858557e-09
Lyl1,-4.28485715410011,1.57668350021585e-10,8.062362894875361e-09
Slfn2,4.03026057114704,1.70623599449602e-10,8.69474328505593e-09
Zbtb7c,1.93189287817049,1.84885413225285e-10,9.38912933554384e-09
Nhs,2.21838641367211,1.88613578991826e-10,9.545655720346591e-09
Parp10,2.46735740637151,1.92233650560926e-10,9.695661733752112e-09
Il18bp,2.64201868917509,2.11632140025044e-10,1.06377543037078e-08
Whamm,1.5587327073327,2.36770511090658e-10,1.1860998687789e-08
Gm5431,4.44849223159618,2.50050518792589e-10,1.24839411037733e-08
E2f2,-2.30540455631514,2.59571004776396e-10,1.29156239346316e-08
Arrdc4,2.58731842929107,2.76463860700923e-10,1.37100098437525e-08
Nod1,1.61172749123858,2.85008095611168e-10,1.4086453635257e-08
Clec2d,2.66658232455549,3.1580584606409803e-10,1.55565959771175e-08
Gm14446,5.92737294679965,3.40801377130387e-10,1.67321021635643e-08
Zufsp,2.60669010512422,3.55233373383592e-10,1.73829099068302e-08
Adtrp,3.27685062486703,3.58841860203236e-10,1.7501534686744e-08
Trim47,1.04811074849577,3.76790918954582e-10,1.83165006589171e-08
Tnfrsf1b,2.78599903272277,4.05889802454387e-10,1.96663590185932e-08
Rab12,0.855257765928997,4.5582651542320303e-10,2.20137393624971e-08
Map3k1,-1.32116970669309,4.80224129473086e-10,2.31164566298152e-08
Rab32,1.67862612449051,4.89987410432914e-10,2.35098504914857e-08
Slamf8,4.33535418250902,5.03464762196434e-10,2.40783244522295e-08
Calcrl,2.92332834440098,5.0610178243008e-10,2.41263617443604e-08
Slc25a37,1.56286109850179,5.70172316031462e-10,2.70932684447361e-08
Eif2ak2,2.39909396016698,5.74896510698942e-10,2.7230194343298e-08
Pnrc1,0.90581309348682,5.96968736561445e-10,2.81853162584825e-08
C130050O18Rik,-3.7327726009049,6.18485103913694e-10,2.91081938396069e-08
Rab20,1.87286716259065,6.26012127314837e-10,2.93689118014561e-08
Marcksl1,2.05361080175816,6.41234706260681e-10,2.99878686364568e-08
Katna1,2.19009336672637,6.463140418929451e-10,3.01300596564478e-08
Socs1,3.77181489988549,6.48556959746137e-10,3.01395432425422e-08
Stat1,2.4005212209569,6.94668340656374e-10,3.21812186151094e-08
Micall2,1.6278428894416,7.50966893055424e-10,3.46805898299158e-08
Ube2z,0.464108166997079,8.42721393193492e-10,3.87966876903845e-08
Sp140,3.45025385698421,9.28763499457666e-10,4.26250527794577e-08
Apol9a,4.10081228836319,9.40164333945042e-10,4.30147013221047e-08
Trib1,1.44132239440747,1.18837244753238e-09,5.42029877457826e-08
