gene,log2FC,pvalue,adjusted_pvalue
Lrrtm2,2.82922904992617,8.61571458585153e-08,7.52317511720474e-07
Gm3892,-1.91372585918468,8.77997106353996e-08,7.66322375241716e-07
Arid5a,1.01187693143738,8.79233257901031e-08,7.67063235219032e-07
4930404N11Rik,-2.16990994145529,8.84421344507118e-08,7.70910224763159e-07
Coro1b,-0.445738845196566,8.84368003051656e-08,7.70910224763159e-07
Zfp711,3.20178964739589,8.8625307862942e-08,7.72167002603478e-07
D930007P13Rik,2.52517594980743,8.89341501734689e-08,7.74517110833499e-07
Mospd2,0.376702437843843,8.92547186907278e-08,7.76967230308208e-07
Npepl1,-1.34353085992625,8.93998855031423e-08,7.77888986161788e-07
Nrxn1,2.0123943913073,9.00537007299598e-08,7.83233855624121e-07
Epha7,1.60426523164551,9.04847857944945e-08,7.86637707583042e-07
Acer2,0.856231415483065,9.12709893678677e-08,7.92998590397447e-07
Scrib,-0.581587547114617,9.12965454507261e-08,7.92998590397447e-07
Spcs1,0.590083567454448,9.16741345942294e-08,7.95929224683963e-07
Cenpn,-2.11373565406085,9.26077410455784e-08,8.03682604586606e-07
Kcnj4,1.21209437914791,9.33694128293073e-08,8.09937736168025e-07
Acads,-0.542274859805056,9.36742053981498e-08,8.12225903548581e-07
Cxx1c,-0.90807040145872,9.37371179895386e-08,8.124157044485e-07
4930461G14Rik,4.56457074401119,9.39099225284068e-08,8.13201620355299e-07
Rab9b,2.20778418920483,9.39009807935588e-08,8.13201620355299e-07
Pmp2,2.00529549954737,9.62106294126472e-08,8.32760185702826e-07
Akap1,0.429476619336296,9.65644117848626e-08,8.35457235031638e-07
Nat9,0.644901048001579,9.7423741302396e-08,8.42523918232598e-07
Ciz1,-0.413914131671853,9.75319479932242e-08,8.43091531234313e-07
1700009P17Rik,0.874720807340305,9.80972790517657e-08,8.47608426850422e-07
Btrc,0.467492425235196,9.8903931481578e-08,8.54205607963877e-07
Zranb3,-1.2940516267101,9.90014511524247e-08,8.54675125816311e-07
Nr1h3,0.640714769800644,1.00919868184708e-07,8.70857110906298e-07
Tmsb4x,-0.364394565100686,1.01007543283495e-07,8.71234053652585e-07
Mastl,-1.08486889676988,1.01592591461291e-07,8.75898859947497e-07
Crebrf,0.996242540067868,1.02617356178592e-07,8.84349052115248e-07
Cd2bp2,0.209829537042479,1.02796221506212e-07,8.85505163422805e-07
Slc7a8,-3.15707635616287,1.03153602690468e-07,8.881973685574e-07
Tchh,0.762075793502554,1.03418257861789e-07,8.90089169358918e-07
Nkx6-1,3.08930625012691,1.03816637496885e-07,8.93129751949746e-07
Hapln4,2.18150508483893,1.04409280312789e-07,8.9783820552083e-07
Blnk,-1.59806262282999,1.04533382642455e-07,8.98515238650683e-07
Tgm5,2.42079911431552,1.0470576154308e-07,8.99606464902017e-07
Tubg2,0.728960421114748,1.04826265017166e-07,9.00251236947077e-07
Tfcp2l1,1.44391792865553,1.06213247002635e-07,9.11767292431809e-07
Larp1b,-1.00896410920204,1.06405536686942e-07,9.13022204743586e-07
Prkag2,-0.494573590944456,1.06672008299836e-07,9.14912279068841e-07
Aldh16a1,-0.66699331228975,1.06815178665222e-07,9.15743635621668e-07
Fam216a,0.471805295832489,1.07174061172159e-07,9.18422807206161e-07
Morn4,1.38660093309345,1.07965068399657e-07,9.24801130876648e-07
Setd7,-0.559877930883966,1.08391029893665e-07,9.28048402946018e-07
Tcn2,0.584945224349547,1.08999292558234e-07,9.32853063882138e-07
Akap6,2.09862627728238,1.09188297042085e-07,9.34066969598901e-07
Tmem168,0.464261120663064,1.11488451915962e-07,9.53332168283124e-07
Parg,0.379281697608382,1.11950352306318e-07,9.56868699643644e-07
Slfn8,-0.998772790823832,1.12012246760371e-07,9.56984700104565e-07
Myl12b,0.437087242711855,1.13149898303299e-07,9.66287445449995e-07
ENSMUSG00000094365,-5.26392453240346,1.13529148524709e-07,9.68690761474944e-07
Il17ra,-0.45862526325793,1.13487367237482e-07,9.68690761474944e-07
Tmem140,1.14576434905717,1.13632244838133e-07,9.69152875441165e-07
Phtf1,0.277138161259774,1.14074459008747e-07,9.72505633322956e-07
Stambp,0.498216483405407,1.14813773026941e-07,9.78387246568647e-07
Got2,-0.433691182852312,1.15140436920317e-07,9.80748908718258e-07
Mtmr11,-0.685406003634779,1.15387033689e-07,9.82426833696026e-07
Tm9sf3,0.436095515030047,1.15726696709639e-07,9.84895359534889e-07
Adam23,-0.747444618966327,1.16032515133261e-07,9.87073852963528e-07
Vmac,-0.76426959730071,1.1738834234306e-07,9.98178931628149e-07
Ubxn11,1.15859522842341,1.18549178896407e-07,1.00761714114353e-06
Swsap1,0.654082654827104,1.19602632135354e-07,1.0161349321358e-06
Rab27b,2.63890382666957,1.20186604099956e-07,1.02065845094147e-06
Rgs19,-0.619567707087169,1.21306298337543e-07,1.02972564606802e-06
Gm10094,1.27838481962884,1.21691160347402e-07,1.03255001693228e-06
Gm12454,-1.96034727071054,1.22234992102351e-07,1.0367202499336e-06
Fgf1,1.1359967995475,1.2435892093425e-07,1.05428256429019e-06
Ei24,0.426251457815199,1.24738365789804e-07,1.05704689606387e-06
Tmem33,0.95676065041289,1.28159531433996e-07,1.08557372135109e-06
Arnt2,0.685093883758859,1.29911180340087e-07,1.09994057950196e-06
Lpo,4.17922816777443,1.30007326287327e-07,1.10028422640778e-06
Mtpap,0.558187094980322,1.3116495588128e-07,1.1096073414237e-06
Fam154b,1.6502374171256,1.31909850262958e-07,1.11543239735594e-06
Ttc23,0.627962838175387,1.32643221205225e-07,1.12115508013157e-06
Ttbk1,1.47465767935348,1.32912297130118e-07,1.12295014179388e-06
Pink1,0.662767297561404,1.34975855840373e-07,1.13989844309712e-06
Fhl4,1.20219369400143,1.35332029670283e-07,1.1424192308569e-06
Gm6984,-3.70483449605292,1.35919522485329e-07,1.14688974149956e-06
Pcgf3,0.265913864565674,1.36794914778626e-07,1.15378470710218e-06
ENSMUSG00000097873,1.50733625016802,1.37482703796365e-07,1.15909215239813e-06
Pigf,0.857745487798048,1.37602297806879e-07,1.15960676841167e-06
ENSMUSG00000090061,5.17319911426348,1.37999165456467e-07,1.16245660259458e-06
Scd2,-0.42908008364993,1.3928252169688e-07,1.17276830768921e-06
Shank3,-1.44309951294948,1.40157238669066e-07,1.17963193990743e-06
Nup205,-0.305851992634061,1.40813174551077e-07,1.18464915412469e-06
Ggact,0.459141679026344,1.43580133930171e-07,1.20741442562764e-06
Fam109b,-1.08400097937813,1.44391509765714e-07,1.21372218140925e-06
Igdcc4,0.973272016675191,1.45989912108111e-07,1.22642422402428e-06
Pyroxd1,0.650743393656333,1.46026475472089e-07,1.22642422402428e-06
Rtp4,1.43016173602315,1.47729134678515e-07,1.24019829723328e-06
BC029214,0.784723757649641,1.48603831825772e-07,1.24701283282948e-06
Agpat5,0.630737815253652,1.49824291480897e-07,1.25672184179911e-06
Ltn1,0.430126744777858,1.51783584284189e-07,1.27261731717362e-06
Mettl21a,1.05356330511786,1.53329466694709e-07,1.28503459941685e-06
Elac1,0.563229591447011,1.54486327118836e-07,1.29418241212412e-06
ENSMUSG00000092400,0.497706362082518,1.55121892721255e-07,1.29895727841511e-06
Ifi47,1.05334718473045,1.55692515213652e-07,1.30318451871985e-06
Ramp1,1.61464808862642,1.58604185434417e-07,1.32696059512742e-06
Kat2a,-0.374511314174363,1.58667071766397e-07,1.32696059512742e-06
Arhgap10,-2.02335000052531,1.60852937794957e-07,1.34467352473251e-06
Ppp1r18,-0.956166086062614,1.61278906337086e-07,1.3476655954007e-06
Ap3b1,-0.281677073140558,1.63100832107424e-07,1.36231500592806e-06
Csmd1,3.64374995456248,1.64381083503433e-07,1.37242958587773e-06
Fchsd2,0.531913204496297,1.66812403243418e-07,1.39164957164121e-06
Glis3,1.90830395337177,1.6682367618038e-07,1.39164957164121e-06
Nacc1,-0.490638578271527,1.67309842904588e-07,1.39511752795051e-06
Hotair,3.34003939127567,1.70336868945211e-07,1.41976067028239e-06
Cdkl4,2.49944778409801,1.70713908771863e-07,1.42230469049978e-06
Gstm7,1.25534163558077,1.71037807399527e-07,1.42440401082432e-06
Dner,-1.42283107728412,1.71426041536832e-07,1.42703712761472e-06
Slc19a1,-0.645030029455416,1.71542017243143e-07,1.42740256700975e-06
Sppl3,-0.275460518381557,1.72702445714507e-07,1.43645494957165e-06
Nkiras1,0.923690578929968,1.73251854325216e-07,1.4404196990162e-06
2900026A02Rik,1.39307074027208,1.737159663125e-07,1.4436722605341e-06
Ints2,-0.228618882014386,1.74858551423458e-07,1.45255820150594e-06
Rasa4,-0.709691148678836,1.75009690295823e-07,1.45320415371844e-06
Ptchd2,3.41152049712539,1.76288662017721e-07,1.46321067166762e-06
Itga2b,-0.729257149993434,1.77671843863101e-07,1.47407339583781e-06
Vcam1,-1.44648074328956,1.78233580010664e-07,1.47811466437654e-06
Ppp1r3e,-1.34514928187706,1.79474452664895e-07,1.48778236106135e-06
Lztfl1,1.18277945895848,1.82028185178078e-07,1.50832057709902e-06
D630045J12Rik,-0.447698108071392,1.82118935915872e-07,1.50844140814636e-06
Ppp4r1l-ps,-0.442957144504618,1.82795995439382e-07,1.51341634351234e-06
Pdzd8,0.353360079425272,1.82892543738594e-07,1.51358292361016e-06
Syne2,-2.18065828113855,1.84000077307202e-07,1.52211258604504e-06
Kars,-0.342245673749403,1.84427460393128e-07,1.52501103366409e-06
Cklf,-0.710962034930854,1.86211159797306e-07,1.53911761628792e-06
Hagh,0.683368268925576,1.86940697200008e-07,1.54450294841425e-06
Mis18bp1,-1.58815361658821,1.87160820860803e-07,1.54567677077871e-06
Zwilch,-1.183230544423,1.87697083257133e-07,1.5494593734157e-06
Sri,0.309353413548999,1.8818653877685e-07,1.5528525891403e-06
Map4k1,-1.12486543529057,1.89216385251981e-07,1.56005049689018e-06
Ubap2,-0.676308623447616,1.89203081802889e-07,1.56005049689018e-06
