Tissue,TF_Family,Up,Down,Total,Odds_Up,log2_OR,log2_OR_CI_L,log2_OR_CI_U,p-value,p-adj
LMC,E2F,4264,5072,9336,0.8407254090281885,-0.25029341892548684,-0.2910111037986133,-0.2095757340523604,6.422968794390859e-17,1.2845937588781718e-16
LMC,EBF,1876,1528,3404,1.2275997383911053,0.29584024347006954,0.2283199169501966,0.3633605699899425,2.640335997075023e-09,4.987301327808377e-09
LMC,ETS,7920,7608,15528,1.0410040741227493,0.057975714847882144,0.02651417171459526,0.08943725798116903,0.012566318460746843,0.017090193106615706
LMC,Forkhead,3736,3660,7396,1.020759355367386,0.029642790076199,-0.015934011135790543,0.07521959128818854,0.3831589164280287,0.40710634870478046
LMC,HMG,1436,1168,2604,1.2292557741659538,0.29778513192568007,0.22058826812300047,0.37498199572835966,1.6346334640573828e-07,2.7788768888975505e-07
LMC,HTH,2236,2228,4464,1.0035890533871692,0.005168639799366501,-0.0534883030404044,0.0638255826391374,0.9165600418095005,0.9165600418095005
LMC,Homeobox,3024,3096,6120,0.9767516951888925,-0.03393624062534382,-0.08403897882868827,0.01616649757800063,0.36410383555978665,0.3993396906139596
LMC,IRF,2180,2052,4232,1.0623477837311253,0.08725614253214864,0.026986139906592044,0.14752614515770524,0.05089812603481836,0.06180486732799372
LMC,MADS,688,352,1040,1.951841359773371,0.964835799433111,0.8365481089218736,1.0931234899443485,1.06289282062513e-25,2.779873530865725e-25
LMC,NR,580,608,1188,0.9540229885057471,-0.06790406450180363,-0.18156856799616847,0.045760438992561214,0.4334344336204627,0.4465688103968404
LMC,NRF,1388,1572,2960,0.8830260648442466,-0.17947207143429417,-0.2516368251723089,-0.10730731769627946,0.0007665889030818243,0.0010860009460325842
LMC,"Paired,Homeobox",1612,1396,3008,1.1546170365068003,0.20741441774617952,0.1357809538952832,0.27904788159707583,8.79319486567867e-05,0.00013589482974230672
LMC,Stat,3680,3364,7044,1.0939078751857356,0.1294912448863819,0.08274529733695568,0.1762371924358081,0.00017419169959290924,0.0002575007733112571
LMC,TEA,2048,2176,4224,0.9412034910427194,-0.08742142317695993,-0.14774855025352474,-0.027094296100395127,0.050679212680995844,0.06180486732799372
LMC,Zf,22112,22424,44536,0.9860869565217392,-0.020213220889508682,-0.03878798844337317,-0.0016384533356441945,0.1405654416764815,0.15930750056667903
LMC,bHLH,13212,13596,26808,0.9717584761344414,-0.04133030840337027,-0.06527306947949964,-0.017387547327240904,0.01932362270319836,0.025269352765720933
LMC,bZIP,14564,14300,28864,1.0184602475351374,0.026389670236879357,0.003316729698033472,0.04946261077572524,0.12161518657252167,0.1425833221884737
MEF,E2F,5644,6932,12576,0.8142218375883455,-0.296506179528424,-0.33164290722790896,-0.26136945182893906,1.5437772119612215e-30,4.374035433890127e-30
MEF,EBF,1764,2944,4708,0.599320882852292,-0.7385994505592804,-0.7975982996984534,-0.6796006014201075,7.328080574878721e-67,3.5593534220839503e-66
MEF,ETS,8580,13032,21612,0.6584055858206093,-0.6029515194536014,-0.6301988848595228,-0.5757041540476799,8.572111918796266e-203,2.9145180523907307e-201
MEF,Forkhead,4548,5800,10348,0.7841751422168591,-0.35075218469424957,-0.3895680135893573,-0.31193635579914186,7.728959035202128e-35,2.388950974517021e-34
MEF,HMG,1336,2212,3548,0.6041572525982829,-0.7270039857076588,-0.7948939932547019,-0.6591139781606157,2.4417321071355556e-49,9.22432129362321e-49
MEF,HTH,2580,3276,5856,0.7876106194690266,-0.3444455314487899,-0.396026625774096,-0.29286443712348387,9.666037706779158e-20,2.054033012690571e-19
MEF,Homeobox,3284,5000,8284,0.6568686262747451,-0.606323234497881,-0.650340640073951,-0.5623058289218109,9.274976269506745e-80,6.306983863264586e-79
MEF,IRF,2272,4108,6380,0.5531759552202482,-0.8541896463498085,-0.9054236980817607,-0.8029555946178564,1.9929636632938508e-118,1.6940191137997733e-117
MEF,MADS,568,968,1536,0.587203302373581,-0.7680680131084993,-0.8715841930935415,-0.664551833123457,1.328574782316998e-24,3.226538757055567e-24
MEF,NR,640,840,1480,0.7621878715814506,-0.39178144363640327,-0.49454643265897513,-0.2890164546138314,2.215172096820757e-07,3.586469109138368e-07
MEF,NRF,1760,2388,4148,0.7371285056508999,-0.44001194462512394,-0.5015699283558701,-0.37845396089437777,1.7774750000671572e-22,4.0289433334855566e-22
MEF,"Paired,Homeobox",1684,2584,4268,0.6518375241779497,-0.6174156891330762,-0.678782252427495,-0.5560491258386574,2.146945605251106e-43,7.29961505785376e-43
MEF,Stat,3904,5668,9572,0.6888340095254895,-0.5377717207900848,-0.5785314279363952,-0.49701201364377445,5.367882950421554e-73,3.0418003385722135e-72
MEF,TEA,2576,2972,5548,0.8668012108980827,-0.2062269260480247,-0.25897904616640166,-0.15347480592964777,1.1251692098826365e-07,2.0134606913689285e-07
MEF,Zf,26852,32932,59784,0.8153827467889351,-0.29445066465568315,-0.31056586788989005,-0.27833546142147625,1.117819725897168e-136,1.2668623560167902e-135
MEF,bHLH,16192,19084,35276,0.8484673827613309,-0.23706889491076577,-0.25800955314567864,-0.2161282366758529,1.6097477821115134e-53,6.841428073973932e-53
MEF,bZIP,17036,22164,39200,0.7686442589668396,-0.3796120449066094,-0.3995817556227576,-0.35964233419046115,2.876289536847306e-148,4.88969221264042e-147
