ID,Description,setSize,enrichmentScore,NES,pvalue,adjusted_pvalue,qvalue,leading_edge,core_enrichment
GO:0009066,aspartate family amino acid metabolic process,12,0.615173685193823,1.64742931900318,0.0277240490006447,0.154950592078756,0.126750364778631,"tags=25%, list=9%, signal=23%",Got1l1/Bhmt/Ddo
GO:0051094,positive regulation of developmental process,621,-0.261303788351771,-1.24166294422471,0.0280742459396752,0.156801691631948,0.128264573536797,"tags=22%, list=16%, signal=20%",Cmklr1/Tert/Ednra/Snai1/Slc8a1/Itgb3/Dbn1/Lyn/Ngf/Lamc1/Man2a1/Dll1/Actn3/Alx1/Fgfr1/Tgm2/Gdf6/Ccr5/Gas6/Sox11/Nrg1/Trpv2/Nfatc2/Hoxb4/Lgals3/Prex1/St8sia2/Cxcr4/Cthrc1/Prl2c2/Pdgfb/Slc9b2/Shank3/Itga5/Bmp1/Gcnt2/Map1b/Cdk1/Limk1/Ifitm1/Tgfbr3/Ret/Tnf/Ager/Tnik/Fbxo5/Dmrta2/Vdr/Nfkbid/Angpt4/Lpl/Cd53/Zp3/Gli2/Fst/Dlk1/Mmd/Cxcl12/Ifi204/Syk/Rgcc/Igf1/Lingo2/Cdh4/Il1rl2/Gdf10/Ect2/Pik3cd/F3/Prl2c3/Nid1/Ccbe1/Fes/Ccr3/Egr2/Aurka/Syt1/P2rx7/Agt/Gjc2/Arrb2/Glipr2/Mmp9/Ccr1/Pck1/Nell1/Mdk/Ccl11/Bmper/Cebpa/Hpse/Trf/Hoxa5/Gdf3/Wt1/Ptgis/Sox12/Foxs1/Foxd1/Cdc20/Lama2/Aspm/Thbs2/Iqgap3/Slc39a12/Plxnc1/Adam12/Cx3cr1/Nlrp3/Prkch/Ccnb1/Pik3r6/Ccl3/Cd83/Evi2/Smoc2/Evi2b/Sema4d/Prkcb/Brinp3/Apoe/Ikzf1/Adam8/Hcls1/Csf1r/Trem2/Ptprc/Inpp5d/Itgam/Il7r/C5ar1/Msr1/Nckap1l/Itgb2/Cd36/C3ar1/Tyrobp
GO:0060037,pharyngeal system development,15,0.566441850078523,1.62990030561026,0.0281229561805101,0.156967547849974,0.12840024475853,"tags=33%, list=9%, signal=30%",Bmp4/Isl1/Bmp5/Nog/Gata3
GO:0043280,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,59,-0.411115802573109,-1.48204732819545,0.0283064129217975,0.157314879881847,0.128684364110051,"tags=39%, list=19%, signal=32%",Map3k5/Casp9/Cck/Arrb1/Bcl2l11/Nod1/Bok/Gsn/Pycard/Ngf/F2r/Ret/Tnf/Atp2a3/Syk/F3/Xdh/Nlrc4/Nlrp3/St18/Card9/Casp1/Laptm5
GO:0008406,gonad development,91,0.328940458618776,1.4105131936239,0.0283185840707965,0.157314879881847,0.128684364110051,"tags=21%, list=10%, signal=19%",Hoxa11/Hoxa10/Bmp4/Ahr/Rbp4/Csmd1/Dhh/Dmc1/Bmp15/Abcb1a/Tiparp/Gja1/Lhx9/Gata3/Dmrta1/Fgf9/Hoxa9/Map7/Ptx3
GO:1901258,positive regulation of macrophage colony-stimulating factor production,3,0.86038077969175,1.50875521748689,0.0283114256825076,0.157314879881847,0.128684364110051,"tags=100%, list=14%, signal=86%",Isl1/Tslp/Cd34
GO:0071657,positive regulation of granulocyte colony-stimulating factor production,3,0.86038077969175,1.50875521748689,0.0283114256825076,0.157314879881847,0.128684364110051,"tags=100%, list=14%, signal=86%",Isl1/Tslp/Cd34
GO:0071655,regulation of granulocyte colony-stimulating factor production,3,0.86038077969175,1.50875521748689,0.0283114256825076,0.157314879881847,0.128684364110051,"tags=100%, list=14%, signal=86%",Isl1/Tslp/Cd34
GO:0071611,granulocyte colony-stimulating factor production,3,0.86038077969175,1.50875521748689,0.0283114256825076,0.157314879881847,0.128684364110051,"tags=100%, list=14%, signal=86%",Isl1/Tslp/Cd34
GO:1903487,regulation of lactation,4,-0.826955366019845,-1.55468138834239,0.0282463711259317,0.157314879881847,0.128684364110051,"tags=75%, list=14%, signal=64%",Prl2c2/Oas2/Prl2c3
GO:0051589,negative regulation of neurotransmitter transport,7,0.711371694864795,1.61858197587136,0.0283542223135402,0.157406930193863,0.128759661728921,"tags=71%, list=20%, signal=57%",Syt4/Gpm6b/Ppp1r9a/Asic1/Snca
